,Parameters,Minima Found,Eigenvalues Squared of Minima,Other Info
38,"[-2134.4358975809664, -4815.503851042078, -7683.739394414515, 4.742585121909195, 3.2281394276660524, 1.570926602715668, 11.393942177630375, 3.751867640279089, -0.8340231369003508, -0.21813198179717652, 4.218651674847177, -0.4031253452218735, 114935.44195834995, -10741.973676258815, -256923.2202921105]","[array([-149.94223,   13.62697, -193.60332]), array([149.94223, -13.62697, 193.60332])]","[array([ 445234.27014677, 1425684.03457802, 1110406.3422661 ]), array([ 445234.27014677, 1425684.03457802, 1110406.3422661 ])]",
39,"[7860.848505175432, -8912.607420788183, -5937.017354894949, 0.9027668425271335, 5.078738973039135, 3.771315107646949, 2.629531647908541, 6.619610134724722, -6.884874534024872, -7.739157007575339, -4.242721616304513, -3.9970268286539756, -113127.96327550967, -117667.16889443985, -359318.48365050886]",0,0,
40,"[-8698.02879583313, -2872.8091726303974, -1190.339369560119, 4.038140469343843, 4.617197956689919, 4.5525652253192055, -3.079174822300411, -7.33818988363646, 12.529157164705712, -10.682391524379852, 3.7598212627153025, 4.183848956416853, -120055.17803698758, -132602.82477833272, -159201.59196639483]",0,0,
41,"[3897.455855032482, -463.7101829318199, -9474.663711176141, 1.5601173348003126, 1.481108030207598, 1.3486690634463547, 6.778153827009383, 12.175250087032921, -3.4213577990813677, -7.667226014550733, 5.960764847436419, -6.796525685559284, -117071.51906689693, 54231.18216549323, -113117.12626474706]",0,0,
42,"[5039.792552016959, -8309.105872676819, 1615.4290001904628, 1.8036884801553306, 3.200140764158102, 2.403758989517084, -4.12631457217393, -4.265929540354229, -4.619754153526379, 11.381832290053634, -9.086823838999322, -4.708662192871923, -100516.71477929111, -22396.827525437213, -214183.51197059106]",0,0,
43,"[1579.6101653975202, -5726.298501273599, 405.5688104851524, 1.8168404037076988, 0.6379035560510468, 0.35887638561352386, -12.372069818923292, 3.0919428222725944, 8.29971788132453, -2.15328951470263, -2.6780839338355733, -7.860025311796499, -142830.44084663055, 147833.77449857467, -379139.9727113863]",0,0,
44,"[-1184.2078574215357, 5742.107849263841, 340.45462019716615, 5.295487802250082, 0.6537739238079605, 3.546654709015026, -11.834838094760658, -4.104630378501941, -4.116332425196351, 2.0372580557466886, -0.2635278790644513, -10.95703019739491, -100916.66792960325, -13654.07187434414, -40047.94310621871]",0,0,
45,"[-1625.0676064457584, -7812.199670780747, -1084.2063751094593, 3.6536718276458284, 3.081906559021799, 0.31875979388742937, 4.248966522523791, -1.7024986087991074, -4.624093283176225, -8.869564863332391, 2.9357883371952216, 3.610984881136009, -143587.07741332764, 103108.7012334156, -98751.14269126777]","[array([-173.04424, -184.81281,   63.65437]), array([-153.9717 ,   84.33723, -293.42437]), array([153.9717 , -84.33723, 293.42437]), array([173.04424, 184.81281, -63.65437])]","[array([1739805.92525492,  267647.91211827,   38144.12040697]), array([942657.28164252, 169106.77611515, 263695.84489495]), array([942657.28164252, 169106.77611515, 263695.84489495]), array([1739805.92525492,  267647.91211827,   38144.12040697])]",
46,"[6543.523102458836, 3979.9785212180086, -1163.368465268819, 4.026465255778311, 5.733835676526362, 0.6850822157790779, 6.210961556049963, 6.873178231632208, 0.6555592067988254, 1.1503482964733553, -0.6899195083938814, 6.954311829475319, 54689.662494076096, 29738.191152849147, -343100.8692699781]","[array([-102.93048,   22.59798, -153.49495]), array([102.93048, -22.59798, 153.49495])]","[array([902080.96628226, 312138.31309365, 488814.24851829]), array([902080.96628226, 312138.31309365, 488814.24851829])]",
47,"[-7823.049875812023, -7268.444647803612, 6632.073836273721, 4.287180662312265, 4.9617492563121335, 4.0452084737753236, -5.752573745013086, 8.185803894896434, 5.539730149637867, 2.75969857786262, -9.627286751778232, 4.308712868976102, -32033.606426817787, -21942.101593787418, -208873.00801171645]","[array([-82.84627, -73.9201 , -84.92246])]","[array([582444.19198051, 400607.73569618, 229295.87588347])]",
48,"[4949.436161648271, 2117.307195556077, 4681.721596939686, 1.7259670813960732, 1.7677702122729446, 5.120793155549537, -4.206622423405795, 7.264847902267984, 3.3742598831299926, 6.847427137132236, 2.330906990748666, -1.658193826211571, -74228.90714933226, -141327.92922841932, -111468.6522237229]","[array([-111.92309,  -83.46599,  -80.70605])]","[array([252832.4063239 , 337502.01241781, 620658.45238164])]",
49,"[-679.9619351897982, 5996.034671038047, -2483.030562078814, 3.9075043274310106, 3.4366850169245517, 5.386728041089203, 4.498222754638473, 7.377651291466863, 5.835828430723822, -1.0820147007397516, -0.5656169119506895, -8.670980321063581, 75049.8204021856, -131721.03559642096, -280237.568079139]","[array([-152.9493 ,  -17.06616, -142.82749])]","[array([1640254.15118025,  565241.49945661,  411820.87520828])]",
