,Parameters,Minima Found,Cost Function Values,Other Info
44,"[ 8.54408673e+04  1.09788676e+05  9.31279736e+04  2.98900890e-01
  6.43310357e+00  5.77136220e+00 -1.50973952e+00 -5.35290479e+00
 -6.79299432e+00 -1.14790075e+01 -4.51397713e+00  6.85499289e+00
 -4.62664589e+04 -7.78837377e+04 -2.76801053e+05]",0,5.10380862388004,
45,"[ 1.62644613e+05  9.04414553e+04  1.90552434e+05  2.50552344e+00
  4.29258055e+00  5.77120905e+00 -1.16862821e+01  7.15945230e+00
  7.14886468e+00 -1.02847644e+01 -4.69371516e+00  7.85519556e+00
 -8.59080373e+04 -5.93115288e+04 -1.33023790e+05]",0,5.1088381323506145,
46,"[ 1.63106881e+05  4.92157093e+04  7.12131870e+04  7.15690558e-01
  4.18378703e-01  2.80855960e+00 -7.51890428e+00  1.09541694e+01
 -4.50284087e+00  1.19191346e+01 -1.23766504e+01 -3.38357721e+00
  6.99089726e+04 -1.15025155e+04 -1.36785797e+05]",0,5.1088381323506145,
47,"[ 1.43312998e+05  1.39337545e+05  6.78316114e+04  2.83466382e+00
  4.54295858e+00  5.33768211e+00 -4.20678831e+00 -2.86731017e-01
 -7.78236323e+00  5.11000967e-01  6.20806145e+00 -9.71474935e+00
  7.12955111e+04 -1.74700315e+04 -2.04280448e+05]",0,5.120808589366539,
48,"[ 1.69837876e+05  1.71547034e+05  2.82947017e+04  5.93785350e+00
  5.04938067e+00  2.59150659e+00  5.31096268e+00  1.18255831e+00
 -1.19621038e+00 -5.73360185e+00  5.25217533e+00  2.83795869e+00
  4.25661382e+04 -6.19128013e+04 -9.33517473e+04]","[array([-131.48189,  138.72244,  -14.73652]), array([-121.54767, -115.86711,  -80.10249]), array([ 131.48189, -138.72244,   14.73652])]",5.120808589366539,
49,"[ 1.94761969e+05  1.89794185e+05  9.79326928e+04  6.47188953e+00
  3.58295325e+00  4.25732581e+00 -6.15519451e+00 -7.65874988e+00
  5.59356504e+00  7.85504245e+00  6.53164906e+00  8.94862792e-01
  1.19659126e+05 -3.89664788e+04 -1.99572564e+05]","[array([-132.16336,  170.28538, -111.4808 ]), array([ -77.22912, -162.88402, -139.98754]), array([ 132.16336, -170.28538,  111.4808 ])]",5.1387703857242855,
50,"[ 1.04476326e+05  4.97817201e+04  1.65651099e+05  2.78730611e+00
  3.62631720e+00  3.45541000e+00 -9.83069901e+00 -3.68489168e+00
  1.01483606e+01 -6.72543393e+00 -5.63689089e+00 -6.40765426e+00
 -1.21542933e+05 -7.86508601e+04 -3.85649094e+05]",0,5.145343331753693,
51,"[ 1.25794349e+05  1.87610742e+05  1.13443491e+05  6.54792867e+00
  6.70915597e+00  5.47355111e+00 -5.03415303e+00  1.12334779e+01
  6.49112060e+00  8.96490075e-01  3.16696275e-01 -7.58154665e+00
  5.62741056e+04 -2.32118766e+04 -2.26361657e+05]","[array([-150.01946,  109.39266, -112.7319 ]), array([ 150.01946, -109.39266,  112.7319 ])]",5.163312075360082,
52,"[ 5.08102799e+04  8.27083447e+04  1.32377978e+05  1.51785640e-01
  5.93548016e-01  1.19589111e+00 -9.40212085e+00 -4.55431780e+00
  2.64229598e+00 -8.60093717e+00 -1.18169265e+01  2.30679022e+00
 -1.04719537e+05 -2.23390219e+04 -5.54407822e+04]",0,5.167225547163847,
53,"[ 4.77559682e+04  1.45160220e+05  9.72177874e+04  1.24790194e+00
  2.58064748e+00  4.77738427e+00 -9.50786817e+00  1.19910048e+01
 -4.38772016e-01  5.91544881e+00 -2.41947749e+00  6.09822006e-01
 -1.14383854e+05 -1.66803353e+04 -5.32633924e+04]",0,5.18025227572753,
54,"[ 1.07061363e+05  1.21573803e+05  1.79388992e+05  1.47505888e+00
  1.19509564e+00  3.93864364e+00  9.87196868e+00 -4.57508605e+00
  1.66572635e+00  7.12853644e+00 -4.25743565e-01  7.27693661e+00
  5.23814366e+04 -3.93616654e+04 -3.96036222e+05]","[array([-175.61528,    6.07876, -139.22542]), array([175.61528,  -6.07876, 139.22542])]",5.18025227572753,
55,"[ 8.90307673e+04  1.40856045e+05  1.08321775e+05  4.25590769e-02
  4.54335281e+00  8.23538530e-01  2.59570821e+00  1.18939122e+01
 -3.40942082e-01  1.32621961e+00 -2.79069041e+00 -5.77544548e+00
  1.00799878e+05  6.41667314e+03 -1.33339331e+05]",0,5.190545068790097,
56,"[ 1.19404173e+05  1.64614260e+05  4.84616625e+04  3.36685379e+00
  4.57285821e+00  4.61694626e+00 -3.09473688e+00  7.94865357e+00
  8.01594071e-01  6.45587661e-01 -8.69149576e+00 -1.23954971e+01
  2.95012518e+04 -5.76840642e+04 -2.46318509e+05]",0,5.190545068790097,
57,"[ 1.16539541e+05  7.54820210e+04  1.03265191e+05  1.70718794e+00
  6.15513392e+00  2.05044518e+00  7.52492756e+00  9.75364588e+00
  1.02970872e+01  1.27742457e+00 -1.42446997e+00  6.21226233e+00
  2.85914120e+03 -4.15422810e+04 -1.28280891e+05]","[array([-183.10363,   -1.23358,  -25.98092]), array([ -34.94395,  -22.7882 , -153.38314]), array([ 34.94395,  22.7882 , 153.38314]), array([183.10363,   1.23358,  25.98092])]",5.190545068790097,
58,"[ 6.30246707e+04  7.71914857e+04  2.61252473e+04  3.42609832e+00
  1.57928212e+00  3.78168577e+00  1.21621721e+01  6.00323608e+00
  3.34173873e+00 -6.53681304e+00  5.69768364e+00 -7.60158844e+00
  1.14840150e+05 -3.19593248e+04 -3.95550676e+05]","[array([-293.63468,    9.27129, -281.26852]), array([293.63468,  -9.27129, 281.26852])]",5.190545068790097,
59,"[ 7.72689664e+04  7.41369167e+04  1.23205133e+05  6.26496978e+00
  6.40283352e+00  2.37817878e+00 -1.71203208e+00 -5.30428494e+00
 -3.69635567e+00 -5.84009116e+00 -8.29028885e+00  3.04910685e+00
 -1.16046793e+05  5.89504746e+03 -8.11688845e+04]",0,5.192362498052374,
60,"[ 1.41517344e+05  1.95805670e+05  5.14021401e+04  2.89794926e+00
  4.53336339e+00  6.56714776e+00 -3.66216225e+00 -5.50093465e+00
  9.40825012e+00 -9.41638538e+00  3.60594249e+00 -8.99855573e+00
  2.77465356e+04 -3.78304402e+04 -7.42805749e+03]",0,5.19370945522558,
61,"[ 6.35727920e+04  1.91657596e+04  6.88823261e+04  1.32367925e+00
  6.83822382e+00  3.59360518e+00  4.16299499e+00  1.24263020e+01
  1.89492521e+00  7.94809824e+00 -2.02282287e-01  4.29008639e+00
  1.03686194e+05 -2.73797752e+04 -2.29950680e+05]","[array([-164.15518,   15.97248, -104.22879]), array([164.15518, -15.97248, 104.22879])]",5.196888145937432,
62,"[ 1.24523448e+05  7.31928236e+04  1.59859124e+05  6.39736850e+00
  4.39363341e+00  1.71287311e+00  8.40737331e+00 -3.36166527e+00
  7.56706728e+00  4.05322342e+00  7.60257085e+00  7.23488914e+00
  1.32610569e+05 -4.84069123e+03 -2.55065978e+05]","[array([ -49.5095 ,   18.68369, -210.55145]), array([ 49.5095 , -18.68369, 210.55145])]",5.2041451584363925,
63,"[ 5.56830477e+04  8.75333975e+04  3.84402410e+04  3.14117264e+00
  6.59723095e+00  2.08401628e+00  4.03363805e+00  6.17132308e+00
  6.41530957e+00 -1.03199936e+01  3.28389558e-01  4.04677876e+00
 -1.73765606e+04 -8.01223097e+03 -1.01276351e+05]","[array([-182.60675, -152.08762,  -21.30348]), array([-161.10313,  133.89072,  -21.67857]), array([ 161.10313, -133.89072,   21.67857])]",5.204893201719891,
64,"[ 2.32977546e+04  1.38757438e+05  4.76122953e+04  1.67578651e+00
  6.09702873e+00  3.63736024e+00  2.42034731e+00  9.21599772e+00
 -4.86432483e+00 -1.99934851e+00 -2.96744213e+00 -3.74186795e+00
 -4.22210964e+04  8.13637784e+03 -1.38036089e+05]",0,5.214551978550913,
65,"[ 7.20217572e+04  4.08362531e+04  1.11932856e+05  5.07783563e+00
  5.71345866e+00  2.13734486e+00  5.18884505e+00 -7.68107380e+00
 -4.95644476e+00  1.16697290e+01 -9.66895577e-01  4.31375428e-01
 -1.43638608e+05  1.96919859e+04 -1.08664914e+05]",0,5.221232480333388,
66,"[ 1.14743158e+05  1.81936547e+05  1.93890228e+05  5.02321802e+00
  2.63027993e+00  3.40887188e+00  1.04125870e+01  4.21821404e+00
  2.40433385e+00 -1.17792453e+01 -8.22611725e-01 -7.07147862e+00
 -7.93164034e+04 -3.41157310e+04 -2.20864807e+05]","[array([-255.21396, -142.9697 , -280.79022])]",5.2307768477092464,
67,"[ 1.88345283e+05  1.86463665e+05  3.65095214e+04  3.98566380e+00
  1.74326846e+00  3.59914376e+00  1.05802856e+01  6.90193344e+00
  1.75932749e+00  1.22530089e+01 -9.64153144e+00 -5.67032552e+00
  1.43526369e+04  1.10440109e+04 -1.48376952e+05]","[array([-233.99604,    3.05523, -214.64239]), array([ -10.52261,  290.75734, -197.44891]), array([  -7.93096, -281.16033, -185.66311]), array([  7.93096, 281.16033, 185.66311]), array([  10.52261, -290.75734,  197.44891]), array([233.99604,  -3.05523, 214.64239])]",5.231374841325452,
68,"[ 2.42840774e+04  1.84836898e+05  1.37995264e+05  1.02946510e+00
  5.36083942e-01  5.77654078e+00 -8.91827549e-01 -7.35757946e+00
 -3.50010883e+00  1.19073935e+01  7.48132482e+00 -3.81186273e+00
 -1.24543290e+05 -7.46055366e+04 -5.71325515e+03]","[array([ -14.72267, -425.91618, -141.10431]), array([ 14.72267, 425.91618, 141.10431])]",5.231374919464467,
69,"[ 1.56345650e+05  1.26759381e+05  4.56472627e+04  1.56697991e+00
  1.08195593e+00  2.01287519e+00  1.05333670e+01  3.08796606e+00
 -4.43634657e+00 -9.31235618e+00  2.29033297e+00  1.78785468e+00
 -3.83372327e+04 -1.89744836e+04 -5.39973118e+04]","[array([-406.75864,  -14.67695, -357.25736]), array([-319.98307,   -9.58956,  265.33692]), array([ 319.98307,    9.58956, -265.33692]), array([406.75864,  14.67695, 357.25736])]",5.232376531937626,
70,"[ 1.65574909e+05  1.39298072e+05  6.86419713e+04  3.26687889e+00
  5.70924901e+00  6.76189671e+00 -7.41943875e+00 -1.98324398e+00
 -1.66696294e+00 -8.19276533e+00 -6.89801158e+00 -6.07419372e+00
  7.28227259e+04 -7.63410055e+04 -2.86527546e+05]",0,5.243906477420322,
71,"[ 9.55383698e+04  9.94039665e+04  1.37267567e+05  5.25941272e+00
  2.78477015e+00  2.79986789e+00  1.04051083e+01 -6.40433589e+00
  2.33906794e+00 -1.17795378e+01  5.79467949e+00  4.04905532e+00
 -1.39060813e+05 -2.58906718e+04 -1.94698785e+05]","[array([-136.23484, -189.89128, -158.16396])]",5.247136253714528,
