,Roots,Unique Roots,Real Roots,Accuracy,Paths,Other Info
36,"[(3.040566577791026+2.384853993590538j), (-1.7549515775625797+3.057841996294624j), (4.114295404914185-5.8402508279249465j), (0.3636868244745598-0.4636820561142318j)]",[ 0.02131+0.04146j -1.77845-3.08036j  0.26154+1.63852j  0.     +0.j     ],,"[8.820859921416071e-16, 2.229601701126049e-12, 1.2501377591251381e-15, 3.873692487540435e-17]",-,
37,"[(2.886171883790927+2.3902703132273224j), (-1.7552570369491294+3.0603861735367817j), (5.632985743790834-4.690279471086754j), (-0.3645128054756338+0.44013708601227675j)]",[ 0.02131+0.04146j -1.77845-3.08036j  0.26196+1.63811j -0.00633+0.00327j],,"[3.4352998358539575e-12, 3.4002870984471545e-07, 1.5174660594261167e-10, 8.555367894892018e-08]",-,
38,"[(2.984722865890856+2.4085022739542246j), (-1.7784466522450315+3.080359960239173j), (4.918785877290256-5.280812000157089j), -5.473822126268817e-48]",[ 0.02543-0.04763j -1.77845+3.08036j  1.34721+1.10531j  0.     +0.j     ],,"[6.662783593823664e-16, 1.464821375527116e-14, 1.3322675966898729e-15, 2.8224393229201727e-25]",-,
39,"[(2.5171909874923855+1.3433596971073294j), (-1.7706202108062628+3.064437303248563j), (2.434698284361281+6.672738068118678j), (0.2048604332513086-0.3838680268467061j)]",[ 0.02543-0.04763j -1.77845+3.08037j  1.34743+1.10455j -0.00726-0.00388j],,"[5.715222817774257e-16, 7.43808911585431e-15, 5.873422482186989e-16, 3.3881317890172014e-21]",-,
40,"[(2.5956484402863653+1.4285173510456166j), (-1.7695678922536018+3.0634142928191896j), (2.1814021066075564+5.61535625892671j), (-0.21784685372977608+0.3958326762297259j)]",[ 0.02543+0.04763j -1.77845-3.08037j  1.34743-1.10455j -0.00726+0.00388j],,"[1.1799360063188596e-14, 4.163417482726779e-10, 3.638259943915875e-13, 1.2425331552422645e-10]",-,
41,"[(2.5744125033452896+1.3940310981007096j), (-1.7784466522450313+3.080359960239173j), (2.312111527821172+6.1769360623853675j), -1.2954252832641667e-77]",[ 0.02543+0.04763j -1.77845-3.08036j  1.34721-1.10531j -0.     +0.j     ],,"[4.718447854656915e-16, 7.105427357601002e-15, 4.438785192518654e-16, 2.0358389924286064e-21]",-,
42,"[(3.5940394584525674+1.6640639021384782j), (-1.7669286765419174+3.048172958932724j), (-6.56140173010541-1.787245459636097j), (0.2537673660182133-0.5480858791329852j)]",[ 0.02544-0.04763j -1.77845+3.08037j  1.34699+1.10606j  0.00726+0.00388j],,"[1.6711069443220838e-16, 3.864528445425362e-13, 1.201282620860909e-15, 1.1226077299168946e-13]",-,
43,"[(3.6327179681075474+1.5089807449836232j), (-1.7696529481815586+3.0478040810396068j), (-7.814010753197807-0.1830580959549139j), (-0.23011740626943122+0.5539842965579655j)]",[ 0.02544+0.04763j -1.77845-3.08037j  1.34699-1.10606j  0.00726-0.00388j],,"[7.510691584075473e-16, 5.433296884287494e-15, 6.193059991862696e-16, 3.4144989710325696e-21]",-,
44,"[(3.6445679407693974+1.5983154158992412j), (-1.7784466522450313+3.080359960239173j), (-7.236948380414474-1.003339461342593j), 5.397605346934028e-79]",[ 0.02764-0.04007j -1.77845+3.08036j -1.59611+0.53319j  0.00607+0.00432j],,"[2.6557438342257705e-11, 1.7987394183555364e-06, 1.0175463198234648e-09, 5.109298530989243e-07]",-,
45,"[(0.02543614684192215+0.047632605311612126j), (-1.7784494584600985-3.080365661949516j), (1.3469878151823687-1.1060643155296985j), (0.007263904211238081-0.003878976028163325j)]",[ 0.02764+0.04007j -1.77845-3.08036j -1.59611-0.53318j  0.00611-0.00422j],,"[2.8066088919804617e-16, 1.4692958578865771e-15, 7.895013415139549e-16, 3.492406309907713e-21]",-,
46,"[(0.025431769397482474+0.047631210869939974j), (-1.7784494574625407-3.08036566158215j), (1.3474256843754435-1.1045498699773497j), (-0.0072636858154909775+0.0038783289940120124j)]",[ 0.02765-0.04007j -1.77845+3.08036j -1.59739+0.5332j  -0.00611-0.00422j],,"[4.594365265244385e-16, 6.0528194484646516e-15, 1.4924898859891714e-15, 6.984812619815426e-21]",-,
47,"[(0.025434037706303134+0.04763210880941237j), (-1.7784466522450315-3.080359960239173j), (1.347208746413108-1.1053083281784104j), -1.9771891386701882e-20]",[ 0.02765-0.04007j -1.77845+3.08036j -1.59675+0.53319j  0.     +0.j     ],,"[6.4796043696850615e-16, 8.993217332906827e-12, 3.4922485801889513e-15, 3.3946919941777427e-16]",-,
48,"[(0.021311982134319105+0.04145565431094621j), (-1.7784486095434047-3.0803642721618387j), (0.26111854806332596+1.6389308831678802j), (0.006321928014621976-0.0032500468064376765j)]",[ 0.02765+0.04007j -1.77845-3.08036j -1.59739-0.5332j  -0.00611+0.00422j],,"[2.063081476116683e-16, 2.1695343235651523e-12, 2.3475117797793794e-16, 5.811572744932962e-13]",-,
49,"[(0.021312379525383687+0.04145817456993199j), (-1.7784486264372317-3.080364276324329j), (0.26195562139726386+1.6381067784376813j), (-0.006325413973496672+0.003269498300692207j)]",[ 0.02765+0.04007j -1.77845-3.08036j -1.59675-0.53319j  0.     +0.j     ],,"[1.0007415106216802e-16, 7.105427357601002e-15, 4.440951091679936e-16, 2.1417553149962985e-23]",-,
50,"[(0.021312214682330844+0.041457022120017055j), (-1.7784466522449942-3.0803599602392184j), (0.261537174480879+1.638520999790917j), 1.778521421509047e-14]",[ 0.24054-4.0187j   3.52182-0.00421j  5.85615+2.87626j -0.61285-0.03668j],,"[0.0, 3.552713678800501e-15, 4.4938668397781776e-14, 1.790180836524724e-15]",-,
51,"[(0.027644955076765152+0.04007018891239974j), (-1.7784499169423835-3.0803639624949715j), (-1.5961137749938448-0.533184740045707j), (0.006110646522098347-0.004215816126115767j)]",[ 0.24054+4.0187j   3.52182+0.00421j  5.85615-2.87626j -0.61285+0.03668j],,"[0.0, 3.552713678800501e-15, 4.4938668397781776e-14, 1.790180836524724e-15]",-,
52,"[(0.027646071127134714+0.04006737486310644j), (-1.7784499171305979-3.0803639618808463j), (-1.5973915538897951-0.5332033793688397j), (-0.006110217463948353+0.004215986414835874j)]",[ 0.30494-3.029j    3.5371 -0.00403j -5.49068+2.65862j  0.46192+0.0465j ],,"[3.552713678800501e-15, 1.4432899320127035e-15, 9.325450455155737e-14, 9.155133597044475e-16]",-,
53,"[(0.027645618352589767+0.04006887038232507j), (-1.7784466522450315-3.080359960239173j), (-1.5967542644475867-0.5331941747664765j), 6.265091808870774e-21]",[ 0.30494+3.029j    3.5371 +0.00403j -5.49068-2.65862j  0.46192-0.0465j ],,"[7.105427357601002e-15, 1.4432899320127035e-15, 4.2780337774645346e-14, 8.881784197001252e-16]",-,
54,"[-0.045893682132674925, 3.5568933044900635, 1.650667724727969, 1.6427529032617312e-17]",[ 0.31467-4.08866j  3.55689+0.j       6.29432+3.85217j -0.     +0.j     ],,"[7.105427357601002e-15, 7.105427357601002e-15, 1.0658141036401503e-14, 5.074017271262996e-78]",-,
55,"[(-0.04589357531429262+1.1988710565800824e-06j), 3.5568978948129626, (1.6506664696146918+0.000569382829753306j), (1.8282612214164598e-07+0.006998704622881343j)]",[0.31467+4.08866j 3.55689+0.j      6.29432-3.85217j 0.     +0.j     ],,"[7.105427357601002e-15, 7.105427357601002e-15, 1.0658141036401503e-14, 6.80750852253123e-78]",-,
56,"[(-0.045893575213814125-1.1988835633000551e-06j), 3.556897894936353, (1.6506665159376404-0.000569394399884549j), (7.526357300013925e-07-0.006998845149384932j)]",[ 0.35789-3.0152j   3.55689+0.j      -5.90866+3.10786j -0.     +0.j     ],,"[1.4210854715202004e-14, 7.105427357601002e-15, 2.842170943040401e-14, 4.976336549774113e-78]",-,
57,"[(-0.051445763943734985+0.004014429349256689j), 3.556893304490063, (-0.8193539584706113+1.5082644502001736j), -4.485677677252893e-23]",[ 0.35789+3.0152j   3.55689+0.j      -5.90866-3.10786j  0.     +0.j     ],,"[1.4210854715202004e-14, 7.105427357601002e-15, 2.842170943040401e-14, 0.0]",-,
58,"[(-0.051444316067286444+0.004012952243589245j), 3.55689903724712, (-0.8187954270504975+1.5078106852097817j), (0.0006119694799603785+0.007845184651999825j)]",[0.38612-4.09162j 3.52073-0.00689j 6.65651+4.86382j 0.62397+0.05888j],,"[3.1776437161565096e-14, 7.549720649807456e-15, 4.0194366942304644e-14, 4.440892098500626e-16]",-,
59,"[(-0.051446878020076955+0.004015789261614162j), 3.5568990377719767, (-0.8199115799201309+1.508714489325453j), (-0.000612402114378255-0.007845575345949624j)]",[0.38612+4.09162j 3.52073+0.00689j 6.65651-4.86382j 0.62397-0.05888j],,"[3.1776437161565096e-14, 7.549720649807456e-15, 4.0194366942304644e-14, 0.0]",-,
