,Whole Generation
63,"[ 2.50619e+05  1.31229e+05  2.08989e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
64,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -3.00000e+01 -9.80600e+03]"
65,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.15580e+04]"
66,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
67,"[ 2.50619e+05  1.31229e+05  1.60046e+05  1.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
68,"[ 2.50619e+05  1.31229e+05  1.50181e+05  1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
69,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.75980e+04]"
70,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
71,"[ 2.33085e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  1.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  9.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
72,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
73,"[ 2.40291e+05  6.36840e+04  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.42580e+04 -9.30000e+01 -9.80600e+03]"
74,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.87000e+04 -1.08000e+02 -9.80600e+03]"
75,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.53970e+04]"
76,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
77,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
78,"[ 2.56677e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  0.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
79,"[ 2.40291e+05  1.31229e+05  1.37497e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -1.20000e+01  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.40000e+02 -9.80600e+03]"
