,Whole Generation
753,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00  0.00000e+00  1.10000e+01  7.00000e+00  1.40000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.51000e+02 -9.80600e+03]"
754,"[ 2.40291e+05  1.80237e+05  1.93555e+05 -1.00000e+00  1.00000e+00
  4.00000e+00 -2.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  2.00000e+00  0.00000e+00  2.43050e+04 -1.05000e+02 -9.80600e+03]"
755,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00 -3.00000e+00  5.00000e+00  5.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.15470e+04]"
756,"[ 2.40291e+05  1.64980e+04  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00 -1.90000e+01  5.00000e+00  3.20000e+01
 -8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -7.56700e+03]"
757,"[ 3.43148e+05  1.31229e+05  1.60046e+05  5.00000e+00  0.00000e+00
  6.00000e+00 -1.70000e+01  1.10000e+01  5.00000e+00  5.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -2.02000e+02 -8.06000e+02]"
758,"[ 2.40291e+05  1.31229e+05  2.11164e+05  4.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  5.90000e+01
  0.00000e+00  0.00000e+00 -8.39300e+03 -1.08000e+02 -9.80600e+03]"
759,"[ 2.40291e+05  1.31229e+05  3.07990e+04  5.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00  1.10000e+01  1.20000e+01 -2.90000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
760,"[ 2.40291e+05  1.31229e+05  6.60120e+04  0.00000e+00  1.00000e+00
  2.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00 -4.80000e+01
  6.00000e+00  0.00000e+00  1.02300e+04 -1.08000e+02 -9.80600e+03]"
761,"[ 2.40291e+05  1.23342e+05  1.60046e+05  0.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00 -5.00000e+00  5.00000e+00  3.60000e+01
  6.00000e+00  0.00000e+00  3.60760e+04 -2.40000e+01 -9.80600e+03]"
762,"[ 2.40291e+05  1.11018e+05  1.60046e+05  5.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00  0.00000e+00  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
763,"[ 2.40291e+05  1.63955e+05  1.89697e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01 -3.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.76890e+04 -1.08000e+02 -9.80600e+03]"
764,"[ 2.40291e+05  1.31229e+05 -1.03396e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -7.00000e+00  1.10000e+01  5.00000e+00 -6.00000e+01
  6.00000e+00  0.00000e+00  9.53000e+02 -1.08000e+02  1.60120e+04]"
765,"[ 3.69840e+04  1.31229e+05 -1.53949e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.60000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -3.52100e+03 -1.08000e+02 -9.80600e+03]"
766,"[-1.30201e+05  1.31229e+05  4.87080e+04  7.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00 -4.30000e+01
  2.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  5.56700e+03]"
767,"[ 2.40291e+05  1.31229e+05  3.65119e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  4.00000e+00  5.00000e+00  3.20000e+01
 -6.00000e+00  0.00000e+00  1.23130e+04 -1.08000e+02 -1.72690e+04]"
768,"[ 2.07660e+04 -7.58600e+03  1.60046e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -2.00000e+01 -1.10000e+01  6.00000e+00  1.10000e+01
  6.00000e+00  0.00000e+00 -1.06700e+03 -1.08000e+02 -9.80600e+03]"
769,"[ 2.40291e+05  1.24314e+05  1.97716e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -3.00000e+00  1.10000e+01 -5.00000e+00  3.20000e+01
 -8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.89740e+04]"
770,"[ 2.40291e+05  3.40890e+04  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01 -3.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
771,"[ 2.40291e+05  1.31229e+05  5.64160e+04 -7.00000e+00  1.00000e+00
  3.00000e+00  1.50000e+01  1.10000e+01  5.00000e+00 -6.00000e+01
  2.00000e+00  0.00000e+00  1.34000e+04 -9.70000e+01 -9.80600e+03]"
772,"[ 6.97810e+04  1.31229e+05  1.60046e+05 -7.00000e+00  0.00000e+00
 -3.00000e+00 -9.00000e+00  1.10000e+01  8.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -1.91700e+04 -1.08000e+02 -9.80600e+03]"
773,"[ 2.40291e+05  7.17950e+04  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.30000e+01  5.00000e+00  3.30000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.05000e+02 -1.25530e+04]"
774,"[-3.41504e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -4.00000e+00 -5.00000e+00  8.00000e+00  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.21880e+04 -1.08000e+02 -9.80600e+03]"
775,"[-2.54039e+05 -9.91860e+04  2.51789e+05 -4.00000e+00  0.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  8.00000e+00  0.00000e+00  1.90970e+04  1.90000e+01 -1.53820e+04]"
776,"[ 2.63496e+05  1.31229e+05  3.78850e+04  5.00000e+00  1.00000e+00
 -7.00000e+00  1.10000e+01  1.10000e+01  5.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
777,"[ 2.40291e+05  1.31229e+05  1.47693e+05  5.00000e+00 -1.00000e+00
  4.00000e+00 -9.00000e+00  2.00000e+00  5.00000e+00 -3.00000e+01
  1.00000e+01  0.00000e+00  3.62990e+04 -1.08000e+02 -9.80600e+03]"
778,"[ 2.40291e+05  6.92120e+04  1.60046e+05 -3.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  0.00000e+00  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  9.25600e+03 -1.08000e+02  5.53700e+03]"
779,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00 -1.00000e+00
  2.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00 -6.00000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.77350e+04]"
780,"[ 2.40291e+05 -2.22329e+05  2.77694e+05 -3.00000e+00  1.00000e+00
 -6.00000e+00 -9.00000e+00  1.60000e+01  7.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  1.90970e+04 -1.08000e+02  2.29400e+03]"
781,"[ 2.40291e+05  1.31229e+05  1.55453e+05  7.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.60000e+01  5.00000e+00 -2.00000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  7.99500e+03]"
782,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  0.00000e+00
 -6.00000e+00 -1.60000e+01  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
783,"[ 2.40291e+05  3.10250e+04  1.60046e+05  5.00000e+00  1.00000e+00
 -4.00000e+00 -9.00000e+00 -9.00000e+00  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  5.09200e+03 -1.08000e+02 -1.03600e+04]"
784,"[ 2.40291e+05  1.31229e+05  2.27930e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  4.00000e+00
  6.00000e+00  0.00000e+00 -9.02900e+03 -1.08000e+02 -9.80600e+03]"
785,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.30000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.20880e+04]"
786,"[-1.90152e+05  1.31229e+05  1.59501e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -1.10000e+01  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.62800e+04 -1.08000e+02  9.32600e+03]"
787,"[ 2.40291e+05  1.31229e+05  1.60046e+05  0.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
788,"[ 2.40291e+05  1.31229e+05  4.45300e+04  5.00000e+00  1.00000e+00
 -2.00000e+00 -1.30000e+01  1.10000e+01  5.00000e+00  1.90000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.84160e+04]"
789,"[ 8.30910e+04  1.28600e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  4.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.15000e+03]"
790,"[-3.87460e+05 -2.33106e+05  1.60046e+05 -1.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  6.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.87740e+04 -1.08000e+02 -9.80600e+03]"
791,"[ 2.40291e+05  1.31229e+05  1.60046e+05  6.00000e+00  1.00000e+00
 -2.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -2.76190e+04 -4.50000e+01 -1.15780e+04]"
792,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  1.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -2.40080e+04  9.20000e+01 -9.80600e+03]"
793,"[ 2.40291e+05  3.16620e+04 -1.51616e+05 -1.00000e+00  1.00000e+00
  4.00000e+00  8.00000e+00  1.10000e+01  5.00000e+00  4.50000e+01
  6.00000e+00  0.00000e+00  3.16000e+03  1.94000e+02 -9.80600e+03]"
794,"[ 2.40291e+05  1.31229e+05  1.60046e+05 -8.00000e+00  1.00000e+00
  4.00000e+00  1.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.86120e+04 -1.08000e+02 -9.80600e+03]"
795,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  3.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
796,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  2.00000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
797,"[ 2.40291e+05 -4.50380e+04  1.60046e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  2.00000e+01  5.00000e+00  3.20000e+01
 -3.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
798,"[-1.46039e+05  1.31229e+05  4.68454e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  4.90000e+01
  6.00000e+00  0.00000e+00 -3.30620e+04 -1.08000e+02 -9.80600e+03]"
799,"[ 2.40291e+05  3.28105e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  2.85010e+04 -1.86000e+02 -9.80600e+03]"
800,"[ 2.40291e+05  1.31229e+05  1.60046e+05 -7.00000e+00  0.00000e+00
 -7.00000e+00 -9.00000e+00 -3.00000e+00  0.00000e+00  3.00000e+01
 -8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
801,"[ 2.40291e+05 -2.81090e+04  1.60046e+05  5.00000e+00  1.00000e+00
 -1.10000e+01 -9.00000e+00  1.10000e+01 -2.00000e+00  3.20000e+01
  0.00000e+00  0.00000e+00  3.37270e+04 -1.00000e+01 -9.80600e+03]"
802,"[ 2.40291e+05  1.48091e+05  1.60046e+05 -7.00000e+00 -1.00000e+00
 -6.00000e+00 -3.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  9.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  3.85900e+03]"
803,"[-1.68988e+05 -9.81050e+04  1.60046e+05  5.00000e+00 -1.00000e+00
  4.00000e+00 -1.00000e+00  1.10000e+01 -3.00000e+00  3.20000e+01
  3.00000e+00  0.00000e+00  1.90970e+04 -1.90000e+01 -9.80600e+03]"
804,"[ 2.40291e+05  1.31229e+05  4.66240e+04  9.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  9.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.60900e+03]"
805,"[ 2.40291e+05  1.31229e+05  2.67499e+05  5.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.94570e+04]"
806,"[-1.04200e+03  1.31229e+05  1.46484e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.59000e+02 -9.80600e+03]"
807,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  0.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  5.00000e+01
 -1.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
808,"[ 2.40291e+05  1.31229e+05  1.60046e+05 -5.00000e+00  0.00000e+00
 -6.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  3.00000e+00  0.00000e+00  3.08040e+04 -1.00000e+02 -9.80600e+03]"
809,"[ 2.40291e+05  9.79390e+04 -2.46564e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -1.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.49000e+02 -9.80600e+03]"
810,"[ 2.40291e+05  3.90460e+04  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  6.00000e+00  1.20000e+01
  6.00000e+00  0.00000e+00 -2.87660e+04 -1.08000e+02 -5.39600e+03]"
811,"[ 2.76402e+05  1.31229e+05 -1.05479e+05  5.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00 -1.50000e+01  5.00000e+00  3.20000e+01
  2.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.22480e+04]"
812,"[-4.78480e+04  5.19460e+04  1.60046e+05  0.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  6.00000e+00  2.50000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.23810e+04]"
813,"[ 2.40291e+05 -4.36900e+03 -2.06189e+05  5.00000e+00  0.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00 -1.50000e+01
  6.00000e+00  0.00000e+00 -1.35210e+04 -7.10000e+01  7.46000e+02]"
814,"[ 8.33030e+04  1.31229e+05  1.60046e+05 -3.00000e+00  1.00000e+00
  4.00000e+00 -1.00000e+01  1.10000e+01 -8.00000e+00  2.70000e+01
  6.00000e+00  0.00000e+00 -3.20830e+04 -1.08000e+02 -9.80600e+03]"
815,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  7.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  0.00000e+00  0.00000e+00  5.18400e+03  1.07000e+02  1.88400e+03]"
816,"[ 2.40291e+05  1.55120e+05  1.60046e+05  4.00000e+00  1.00000e+00
  4.00000e+00 -1.60000e+01 -9.00000e+00  4.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.67000e+02 -1.90480e+04]"
817,"[ 5.15730e+04 -8.95510e+04  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  4.00000e+00  0.00000e+00 -3.02800e+04 -1.08000e+02 -9.80600e+03]"
818,"[ 2.11018e+05  2.16017e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -7.00000e+00  6.00000e+00  1.10000e+01  6.00000e+00  3.20000e+01
  1.10000e+01  0.00000e+00  1.90970e+04 -1.08000e+02  1.59330e+04]"
819,"[ 2.40291e+05  3.11050e+04  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -6.00000e+00 -7.00000e+00  9.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.12850e+04 -1.92000e+02 -7.64000e+03]"
820,"[ 3.65777e+05  1.31229e+05 -8.10480e+04  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  0.00000e+00  5.00000e+00 -5.90000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
821,"[-1.65377e+05  3.30720e+04  1.60046e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01 -5.00000e+00  2.00000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
822,"[ 2.40291e+05  1.37508e+05  1.60046e+05  9.00000e+00  1.00000e+00
 -5.00000e+00  9.00000e+00  1.10000e+01 -3.00000e+00 -4.80000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.32000e+02 -6.41400e+03]"
823,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -7.00000e+00  1.40000e+01  1.10000e+01  5.00000e+00 -5.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  1.58000e+02 -4.29300e+03]"
824,"[ 2.40291e+05  1.14225e+05  1.60046e+05  5.00000e+00  0.00000e+00
  4.00000e+00  1.70000e+01  1.10000e+01  1.00000e+00  3.20000e+01
 -1.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
825,"[-2.42508e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00 -2.70000e+01
  0.00000e+00  0.00000e+00  1.90970e+04 -2.00000e+00 -9.10700e+03]"
826,"[ 2.40291e+05  1.31229e+05  4.97920e+04  5.00000e+00  0.00000e+00
  4.00000e+00 -1.00000e+00  1.10000e+01  1.00000e+00  1.60000e+01
 -9.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
827,"[ 2.70381e+05  1.31229e+05  1.60046e+05  7.00000e+00  1.00000e+00
 -5.00000e+00 -9.00000e+00  1.10000e+01  1.30000e+01  3.20000e+01
  8.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -1.08350e+04]"
828,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
 -9.00000e+00  0.00000e+00  1.90970e+04 -3.80000e+01 -9.80600e+03]"
829,"[ 2.48958e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00  1.50000e+01 -1.20000e+01  5.00000e+00  3.20000e+01
  1.10000e+01  0.00000e+00  1.90970e+04 -1.08000e+02 -1.19620e+04]"
830,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -6.20000e+01 -9.80600e+03]"
831,"[ 2.40291e+05  1.49460e+05  1.60046e+05 -3.00000e+00  0.00000e+00
  5.00000e+00  5.00000e+00  1.10000e+01  9.00000e+00 -1.80000e+01
  9.00000e+00  0.00000e+00 -3.24240e+04 -1.08000e+02  1.87600e+03]"
832,"[ 2.40291e+05  1.31229e+05  1.09061e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.60000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -3.18100e+04 -1.08000e+02 -9.80600e+03]"
833,"[ 2.40291e+05  5.08210e+04  1.60046e+05  5.00000e+00  1.00000e+00
 -1.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
834,"[-9.74820e+04  6.55800e+03  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  4.90000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.57630e+04]"
835,"[-2.59353e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -7.00000e+00  1.10000e+01 -1.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
836,"[ 2.40291e+05  1.31229e+05  1.60046e+05  2.00000e+00  1.00000e+00
  4.00000e+00 -1.40000e+01  1.30000e+01  5.00000e+00  3.20000e+01
  7.00000e+00  0.00000e+00  1.07510e+04 -8.20000e+01 -1.73610e+04]"
837,"[ 3.73623e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  2.00000e+00 -1.00000e+00  2.00000e+01  0.00000e+00  2.30000e+01
  6.00000e+00  0.00000e+00 -1.09300e+04 -1.08000e+02 -9.80600e+03]"
838,"[-1.77807e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00  1.20000e+01  1.10000e+01  2.00000e+00 -2.40000e+01
  5.00000e+00  0.00000e+00  3.67000e+03 -1.08000e+02 -9.80600e+03]"
839,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  0.00000e+00
  7.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  5.40000e+01
  6.00000e+00  0.00000e+00 -1.96440e+04 -1.08000e+02 -9.80600e+03]"
840,"[ 2.40291e+05  1.31229e+05  1.65008e+05  8.00000e+00 -1.00000e+00
  4.00000e+00 -9.00000e+00  6.00000e+00  5.00000e+00  6.20000e+01
  6.00000e+00  0.00000e+00  1.66740e+04  1.32000e+02 -9.80600e+03]"
841,"[ 2.40291e+05  1.26493e+05  1.60046e+05 -9.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  3.66910e+04  1.00000e+02 -9.80600e+03]"
842,"[ 2.40291e+05  1.73370e+05 -5.61120e+04  5.00000e+00  1.00000e+00
  6.00000e+00 -9.00000e+00  1.50000e+01  0.00000e+00 -2.40000e+01
  9.00000e+00  0.00000e+00  2.84250e+04 -1.09000e+02 -1.27640e+04]"
843,"[ 2.24346e+05  1.31229e+05  1.60046e+05  8.00000e+00  1.00000e+00
  5.00000e+00  1.50000e+01  1.80000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  5.70000e+01 -7.87100e+03]"
844,"[ 2.40291e+05  1.31229e+05  1.60046e+05 -2.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00 -2.50150e+04 -1.47000e+02 -9.80600e+03]"
845,"[ 2.40291e+05  1.38739e+05 -1.74927e+05  5.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  1.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.41700e+04]"
846,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -5.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  7.90700e+03 -2.13000e+02 -9.80600e+03]"
847,"[ 1.00284e+05  1.31229e+05  1.60046e+05  2.00000e+00  1.00000e+00
  5.00000e+00  1.10000e+01 -1.40000e+01  5.00000e+00  3.20000e+01
 -1.00000e+00  0.00000e+00  5.74000e+03 -1.08000e+02 -9.66800e+03]"
848,"[-1.35770e+04  1.31229e+05  2.17388e+05  5.00000e+00  1.00000e+00
  2.00000e+00  4.00000e+00 -2.10000e+01  5.00000e+00 -8.20000e+01
 -1.00000e+01  0.00000e+00  1.90970e+04 -6.40000e+01 -4.92000e+02]"
849,"[ 2.40291e+05 -1.56452e+05  1.60046e+05  6.00000e+00  1.00000e+00
  4.00000e+00  6.00000e+00 -1.60000e+01  9.00000e+00 -3.40000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
850,"[ 2.40291e+05  1.78312e+05  1.60046e+05 -7.00000e+00 -1.00000e+00
  6.00000e+00 -9.00000e+00  1.10000e+01  5.00000e+00  3.20000e+01
 -1.10000e+01  0.00000e+00  2.27710e+04 -1.08000e+02 -9.80600e+03]"
851,"[ 2.40291e+05 -2.15053e+05  1.60046e+05 -4.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  9.00000e+00 -1.60000e+01
  6.00000e+00  0.00000e+00  1.90970e+04  4.50000e+01 -9.80600e+03]"
852,"[ 2.40291e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00  4.00000e+00 -8.00000e+00  5.00000e+00  3.20000e+01
  7.00000e+00  0.00000e+00  1.40850e+04 -1.08000e+02 -9.80600e+03]"
853,"[ 2.40291e+05 -1.08662e+05  1.60046e+05  5.00000e+00  1.00000e+00
 -7.00000e+00 -9.00000e+00  1.20000e+01  5.00000e+00  3.00000e+01
  6.00000e+00  0.00000e+00 -2.21250e+04 -1.08000e+02 -9.80600e+03]"
854,"[ 2.39162e+05  1.31229e+05  1.60046e+05  9.00000e+00  1.00000e+00
  4.00000e+00  1.70000e+01  1.10000e+01  2.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]"
855,"[-3.67945e+05  1.93345e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  2.00000e+00  4.00000e+00 -5.60000e+01
 -2.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02  1.80590e+04]"
856,"[ 2.40291e+05  1.40023e+05  1.60046e+05  5.00000e+00  0.00000e+00
  6.00000e+00 -5.00000e+00  1.10000e+01  4.00000e+00 -1.40000e+01
  4.00000e+00  0.00000e+00  1.90970e+04  1.31000e+02 -9.80600e+03]"
