,Cost Function Values,Minima Found,Other Info,Parameters
30,5.3987176782192785,"[array([ -95.75126, -230.64927, -127.52905]), array([ -95.75126, -230.64927,  127.52905]), array([ -95.75126,  230.64927, -127.52905]), array([-95.75126, 230.64927, 127.52905]), array([  95.75126, -230.64927, -127.52905]), array([  95.75126, -230.64927,  127.52905]), array([  95.75126,  230.64927, -127.52905]), array([ 95.75126, 230.64927, 127.52905])]",,"[8.83893970e+04 1.79345401e+05 1.97750968e+05 4.82037871e+00
 1.68560601e+00 6.07953534e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
31,5.400806114335137,"[array([ -58.84575, -136.88709, -135.30426]), array([ -58.84575, -136.88709,  135.30426]), array([ -58.84575,  136.88709, -135.30426]), array([-58.84575, 136.88709, 135.30426]), array([  58.84575, -136.88709, -135.30426]), array([  58.84575, -136.88709,  135.30426]), array([  58.84575,  136.88709, -135.30426])]",,"[1.77866434e+04 1.13517367e+05 1.21983829e+05 2.56822942e+00
 3.02905624e+00 3.33157270e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
32,5.417474349720938,"[array([-227.60385, -287.44436, -122.43026]), array([-227.60385, -287.44436,  122.43026]), array([-227.60385,  287.44436, -122.43026]), array([-227.60385,  287.44436,  122.43026]), array([ 227.60385, -287.44436, -122.43026]), array([ 227.60385, -287.44436,  122.43026]), array([ 227.60385,  287.44436, -122.43026])]",,"[1.32963794e+05 6.43164281e+04 1.88037395e+05 1.28334725e+00
 3.89210311e-01 6.27244260e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
33,5.4228053406290435,"[array([-179.11711, -130.2978 , -660.11225]), array([-179.11711, -130.2978 ,  660.11225]), array([-179.11711,  130.2978 , -660.11225]), array([-179.11711,  130.2978 ,  660.11225]), array([ 179.11711, -130.2978 , -660.11225]), array([ 179.11711, -130.2978 ,  660.11225]), array([ 179.11711,  130.2978 , -660.11225])]",,"[1.44417757e+05 1.80212774e+05 1.43966713e+05 2.25069394e+00
 5.30739512e+00 1.65194851e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
34,5.424576756694001,"[array([ -225.00675,   -76.00889, -1352.98707]), array([-225.00675,  -76.00889, 1352.98707]), array([ -225.00675,    76.00889, -1352.98707]), array([-225.00675,   76.00889, 1352.98707]), array([  225.00675,   -76.00889, -1352.98707]), array([ 225.00675,  -76.00889, 1352.98707]), array([  225.00675,    76.00889, -1352.98707]), array([ 225.00675,   76.00889, 1352.98707])]",,"[1.68577764e+05 7.30160035e+04 1.59603241e+05 1.66486572e+00
 6.31915815e+00 4.35937690e-02 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
35,5.431345103126751,"[array([ -95.74073, -149.02391,  -58.01944]), array([ -95.74073, -149.02391,   58.01944]), array([-95.74073, 149.02391, -58.01944]), array([-95.74073, 149.02391,  58.01944]), array([  95.74073, -149.02391,  -58.01944]), array([  95.74073, -149.02391,   58.01944]), array([ 95.74073, 149.02391, -58.01944])]",,"[3.74337440e+04 9.47207768e+04 3.91579666e+04 2.04192502e+00
 2.13257020e+00 5.81625031e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
36,5.431912048144162,"[array([-105.07644, -101.17745,  -68.6838 ]), array([-105.07644, -101.17745,   68.6838 ]), array([-105.07644,  101.17745,  -68.6838 ]), array([-105.07644,  101.17745,   68.6838 ]), array([ 105.07644, -101.17745,  -68.6838 ]), array([ 105.07644, -101.17745,   68.6838 ]), array([105.07644, 101.17745, -68.6838 ]), array([105.07644, 101.17745,  68.6838 ])]",,"[1.14341458e+05 1.16178472e+05 6.49230118e+04 5.17801142e+00
 5.67450740e+00 6.88113332e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
37,5.434760511629545,"[array([-121.4267 , -170.95326, -111.68749]), array([-121.4267 , -170.95326,  111.68749]), array([-121.4267 ,  170.95326, -111.68749]), array([-121.4267 ,  170.95326,  111.68749]), array([ 121.4267 , -170.95326, -111.68749]), array([ 121.4267 , -170.95326,  111.68749]), array([ 121.4267 ,  170.95326, -111.68749])]",,"[1.62583656e+05 3.83309311e+04 1.19157881e+05 5.51338763e+00
 6.55789740e-01 4.77621340e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
38,5.434760511629545,"[array([-156.62307, -100.55226,  -36.98303]), array([-156.62307, -100.55226,   36.98303]), array([-156.62307,  100.55226,  -36.98303]), array([-156.62307,  100.55226,   36.98303]), array([ 156.62307, -100.55226,  -36.98303]), array([ 156.62307, -100.55226,   36.98303]), array([156.62307, 100.55226, -36.98303])]",,"[9.61027013e+04 5.56286385e+04 1.51565978e+04 1.95881812e+00
 2.75096301e+00 5.54072683e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
39,5.434760511629545,"[array([-87.38752, -83.7903 , -72.0079 ]), array([-87.38752, -83.7903 ,  72.0079 ]), array([-87.38752,  83.7903 , -72.0079 ]), array([-87.38752,  83.7903 ,  72.0079 ]), array([ 87.38752, -83.7903 , -72.0079 ]), array([ 87.38752, -83.7903 ,  72.0079 ]), array([ 87.38752,  83.7903 , -72.0079 ])]",,"[5.88105289e+04 9.32674465e+04 7.12881355e+04 3.85058072e+00
 6.64220991e+00 6.87427665e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00]"
