,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
1701,"[array([204185.16222772, 541792.2909571 , 423768.07794316]), array([204185.16222772, 541792.2909571 , 423768.07794316])]","[array([-76.28143,  28.64571, -91.42883]), array([ 76.28143, -28.64571,  91.42883])]",,"[7095.840655341741, 5080.9836708466755, 5448.1159295787, 5.282317597482289, 5.691952341055304, 3.074950731435798, 11.175398335183715, 8.030320525708788, 5.699078172666805, 5.852445629365544, 5.638124074310461, -5.88972106575695, 45000.36142912813, 98808.61422135844, -97295.49427974306]"
1702,0,0,,"[6212.044645806758, -455.05869896652257, -5644.945120429837, 3.5933087258885443, 4.089842989194581, 4.211023302494578, 5.7397286426830405, 8.635195262490136, -0.4139710926396942, 2.0529669718516566, 1.4382843128773928, -7.812073024486405, 79387.99869821637, -101127.03780644074, -331006.2166745174]"
1703,"[array([867846.79895399, 182718.70310577, 280426.29389878]), array([867846.79895399, 182718.70310577, 280426.29389878])]","[array([-87.22004, 138.80663,  84.82778]), array([  87.22004, -138.80663,  -84.82778])]",,"[-8635.19212764027, 3870.3322443952857, 320.4644765775429, 3.9815589496313426, 2.659276150456349, 5.574514125569484, -0.07235416587744936, -6.024776366573864, 3.72943840684111, -2.822766622337678, 3.845009564037994, 0.7768257543949986, 82820.53881810265, -114131.33200134532, -41219.26180684118]"
1704,0,0,,"[-7844.566898722365, 7823.617650015665, 5073.745777956012, 3.7726759407325474, 4.364622196746824, 2.0923872833212895, 6.948014824713965, -6.812738345826001, 8.16105403948696, -1.5673424867052557, -9.045938916924896, 2.6774694195216817, -147119.6376353585, -109916.17920353191, -40919.944383941765]"
1705,"[array([ 60202.41024832, 419897.27075644, 245425.77295706]), array([ 60202.41024832, 419897.27075644, 245425.77295706])]","[array([ -57.46732,   74.83281, -114.85049]), array([ 57.46732, -74.83281, 114.85049])]",,"[-1992.0702700604397, 4641.752911226096, 2142.8085252044275, 5.21783976570924, 2.4689062331057987, 1.5551896562503178, 10.305714985303744, 5.142808974186526, 8.623019283363334, -2.8414267282685604, -2.5230182912768893, -12.112471587627418, 2887.1045946495433, 105695.46395701426, -30369.84616641578]"
1706,0,0,,"[-52.091695033870565, -3272.6151030467563, 8046.19595195221, 5.833837285635693, 0.43292001226673327, 3.265670304246635, 3.649882938821733, 6.062921850255226, -7.756605316275129, 9.257420964915092, 0.7241096109992746, -6.6666501911938925, 19954.46072940741, -8369.806364196265, -373545.95863685024]"
1707,0,0,,"[7325.678399048393, 7173.47091494748, -2184.4102774139974, 1.907720265389554, 2.536838134735765, 4.724962712919357, -3.350286093852292, 10.502842509419871, -6.2957724032024185, 3.906650929015523, -1.5599717761168002, -7.451052592486288, -12532.152263493743, 49435.343996235955, -279847.4574711041]"
1708,0,0,,"[-6646.02133599126, 8425.134228951309, -6189.593008084696, 4.862964384397063, 1.2277552032125565, 5.859974645441672, 10.696138392212848, 1.0262225983159468, -4.443832164443016, -3.258691239558164, -3.0241455569500033, -6.362361439751672, -41240.80186206866, 1620.4125096238859, -377144.66415583924]"
1709,0,0,,"[-8267.82221450851, -459.7363301850146, -2554.584359627658, 2.4684725825059584, 0.6463033157382896, 1.9250478545501062, 9.907088981898521, 7.376411714652473, -0.6275470069135514, 4.602248748974123, 7.652024913816824, -5.426339461635167, 21146.50662978599, -4530.508110466093, -36392.15326098434]"
1710,0,0,,"[-5152.324264917727, 6381.184364906734, -5955.194211352923, 1.6562135147001884, 4.93904840050787, 5.953418494695516, -12.16569699527748, -1.5393396780275364, -6.554138927392386, -6.71678559513115, -6.253399610190705, -6.453585487412389, 40724.43378016533, -67537.41205399347, -61723.33328292082]"
1711,"[array([4175430.35606383,  307466.03761856, 1333909.39384786]), array([3153746.18266417,  251286.93256733, 1304053.88233733]), array([4175430.35606383,  307466.03761856, 1333909.39384786])]","[array([-286.80691,  221.04567, -179.56358]), array([-247.86201, -177.50498, -182.73778]), array([ 286.80691, -221.04567,  179.56358])]",,"[-2278.8760099562232, -8943.563462904833, -5584.5517912638525, 3.199292510964083, 4.36456990727189, 5.369426867439223, -10.34416673746692, 7.589655915768974, -7.893734885784565, 4.191115095647362, -5.012847966758859, 4.331087244961829, 62377.08471311469, -69090.08038034567, -284505.82137386216]"
1712,"[array([632308.12484414, 412532.91068784,  35038.59123231]), array([632308.12484414, 412532.91068784,  35038.59123231])]","[array([ -92.12748,    9.30273, -107.40056]), array([ 92.12748,  -9.30273, 107.40056])]",,"[-9681.937602621487, 8247.217780509785, -4814.269060731655, 4.724927992714122, 4.867104904002374, 2.445923836381019, -4.140849233188556, -4.8074286820947485, -1.957840342426528, 10.013278057190856, 2.9907359543145393, 6.55415638586226, 75250.95195171624, -60828.35413934526, -239520.2444182163]"
1713,0,0,,"[2924.3081595473286, -5436.026624446595, 9834.702734156006, 3.571262416045889, 3.6511594532604197, 3.611361925937492, 9.515573759400723, -7.705354694394415, 9.683803838456967, 0.4730354408061235, -10.11011230497744, -2.58741231401493, 3633.743389629817, -108605.64972425652, -106438.5401677569]"
1714,0,0,,"[4899.678499498095, 6637.513312774332, 8050.395198683593, 1.0266944342571236, 1.2697130887870987, 1.1027180707901283, -6.350491873662944, -0.17898882645171899, 3.8645679966372377, -7.390617241549119, 5.650688119847814, -3.95740830480095, 145270.5065187373, 148517.15603292064, -252537.51726068565]"
1715,"[array([625634.92749079, 485592.18407785, 171038.95170878])]","[array([-83.1097 , -68.54048, -82.02034])]",,"[7108.603446047593, -2741.3034293133423, 2376.462915947919, 4.87861355174231, 3.9110362489789074, 5.210465710621292, -7.267115231393507, 6.539076870426669, 7.761899114905949, 3.71186791767639, -5.933745784854446, 3.9347503805272126, 14823.500143896963, -46780.509225319125, -260179.61171849666]"
1716,0,0,,"[8229.244960712116, 8735.1494509012, 7916.2059565805575, 3.9583619675349535, 3.622901683409071, 0.46666101589548115, -2.721653175799494, 4.992466378298015, -6.444933515557537, 6.481331765920103, 1.7232648527950563, 2.290012228381448, -98385.93565101566, 128868.12251427636, -116536.9560165194]"
1717,"[array([858783.60920675, 495317.8326442 , 264106.06157327])]","[array([ -87.83469,  -34.46417, -100.32324])]",,"[-1828.066519681608, -5932.279989423055, -9126.751271615387, 5.834477231787684, 1.1200584023274465, 2.468038005526861, 9.186962479072438, 3.5604211713769356, 10.246949886278621, 6.729038323324303, -3.6550751735217197, 2.3790972859841055, -138303.7752810496, 31472.852228915057, -368947.21393275156]"
1718,"[array([1818673.01781971,  457837.72624362,  325868.78861617])]","[array([-190.04394,  -20.97415, -202.07379])]",,"[2721.637228047326, 8285.60948976731, -1880.5380309712127, 3.358566878295463, 2.227288916632312, 2.5582430844269832, 11.94023234082534, 3.522391779117248, -2.4169260532900365, 1.1175344999397652, -10.888445586685346, -0.487079402486712, -117351.71271427101, 76218.52294978124, -226776.89749601978]"
1719,"[array([1601020.80930556,  731971.53808093, 1103404.20388482]), array([1601020.80930556,  731971.53808093, 1103404.20388482])]","[array([-165.61207,   10.4431 , -162.44957]), array([165.61207, -10.4431 , 162.44957])]",,"[3579.2549482385602, -9930.432359244534, -5026.508080887739, 3.658116097144184, 5.096731242424071, 3.7197606901856157, 2.0892952218508327, 10.785511783240803, 4.809781732029686, 10.39921426543048, -3.331526551541634, -5.346866593811182, 96985.74770893515, -28124.305627684153, -369488.05887282244]"
1720,"[array([ 44800.5231386 , 363573.62524367, 292880.21701506]), array([ 44800.5231386 , 363573.62524367, 292880.21701506])]","[array([-62.39085, -41.87393, -64.16547]), array([62.39085, 41.87393, 64.16547])]",,"[-4482.4681280394825, 4547.435180014441, -4026.1110249059075, 5.267341812168022, 4.24163070777596, 1.6797181470045162, 1.07810860043395, 7.019678747343887, 6.176831895897434, -7.402340831327921, 5.498434923600456, 6.275669979637698, -13522.716163208737, -35468.38675903341, -157777.26991679735]"
1721,"[array([1748730.30987844,  220703.43403159,  605265.28927227]), array([1748730.30987844,  220703.43403159,  605265.28927227])]","[array([-178.84897,  209.98568,  -32.80105]), array([ 178.84897, -209.98568,   32.80105])]",,"[4648.069265357364, -7445.479970580389, 5069.29195253561, 3.8917720925565624, 1.9868570489159798, 2.4852071540955696, 5.344051176727035, 6.51684701293787, 9.455012437354245, -9.386429864642471, -7.681900998036293, 1.4691868757982718, 118921.52240569418, 18713.614409264002, -87459.4766450451]"
1722,0,0,,"[8446.984291881254, 8653.228251343076, 1063.039155221115, 0.6927692790362906, 0.31640627182704106, 5.89273656195573, -11.737002308743714, 10.252204758241078, 0.8586265176194843, -11.714346380334216, -11.850027860681294, -2.9558122153338733, -31747.059411909533, -143611.2128682716, -106037.68390593171]"
1723,0,0,,"[7227.620525854756, -9432.339828471853, -6438.601103015786, 3.5863959566718377, 5.872644188996388, 4.662022761193501, -3.2929164731164686, 12.146921927693956, -5.705835482782062, -10.82882698360268, -2.0333887841788307, -6.386984182527442, -37963.13809836308, -55537.67909068354, -77644.73462138319]"
1724,0,0,,"[2651.065846415937, -8843.013455006694, -7816.585351501493, 3.03780014983987, 0.22720041499242288, 3.031637575764593, 0.24467719734168902, 8.09960705680244, 1.3728360530287347, -3.276172423589175, -1.2868019878244343, 3.8194427222153955, -135354.97149353146, -47746.53104565122, -78254.83748053311]"
