,Eigenvalues Squared of Minima,Minima Found,Other Info,Parameters
972,0,0,,"[2333.0111298828124, 5306.078155640225, -2888.2497973939717, 5.649673189244283, 5.656648551646135, 0.9423284118317007, 10.929773564686279, 5.761627034524862, 1.4122056647014762, -12.177789950653082, -10.159871647946161, -11.074188607987791, 32564.443046203523, 89041.83073436859, -178150.62687418552]"
973,"[array([175288.13070218, 695968.96753743, 447627.10077777]), array([175288.13070218, 695968.96753743, 447627.10077777])]","[array([-88.02365,  14.70079, -93.33048]), array([ 88.02365, -14.70079,  93.33048])]",,"[2242.325192487506, 4000.348535164656, 1549.3542182775072, 2.4796816461071307, 2.858181795512709, 2.6993638856250852, 12.504986756099441, 7.483606523555851, 10.4734907413014, -0.6841830045008361, -1.4850199220783349, 5.292010686682609, -59335.922108850136, 100404.63294756421, -341453.69076243986]"
974,0,0,,"[5354.602691497619, -8548.19861519539, -2643.2622127561253, 4.640051356262032, 3.8987472865122674, 3.94922916004477, -10.571536024489312, 9.758691354925247, -3.2422841155619793, 0.026338760179394072, -0.7531957840429158, -3.9100782673072185, -4704.683384971257, -72444.2842104863, -174088.5073606914]"
975,0,0,,"[-8634.951670759063, -6859.791538377047, 2822.225063167911, 0.4710656192115028, 2.7118417134133446, 3.2826545210278675, -0.6638313856492797, 0.313028546943114, 12.096755188691244, -6.369215982139816, -0.5917771835447176, -10.500324357507907, 141595.12431265746, -119337.22318818237, -115535.00211398042]"
976,0,0,,"[-3047.0689150876187, -101.99901467701238, 5012.098564101823, 2.7941185397808956, 4.7434273217239715, 1.937219947226465, 5.685547862021991, 2.8409331042006585, -6.7255929315342335, 1.7752753916733486, 7.9179709945425, -0.12893934634074888, 97684.28936227859, 95116.01388040214, -391534.72681001574]"
977,"[array([788991.70183738, 387623.02323051, 519436.32282638]), array([788991.70183738, 387623.02323051, 519436.32282638])]","[array([-127.03776,   83.24525, -113.60618]), array([127.03776, -83.24525, 113.60618])]",,"[-8293.71830260394, -9643.892463022106, -3902.305512430379, 1.8541419407654038, 2.761461727342116, 4.061524768554061, 10.426829772446329, 10.114280781735228, 3.1388663027005475, -7.285379282338322, -5.781382165503314, -1.1111417722948946, 69117.828517252, 149185.35151787935, -208962.4715760654]"
978,0,0,,"[5552.0141085502255, -7733.762444808878, -5443.7657955891345, 5.158945548503817, 3.5419382299202016, 2.1041188542727007, 8.931613322673627, 3.2573841210717536, -0.6672821822623094, -12.373117145817753, -9.00755081371502, -7.955996910222997, -89073.11921520738, -117425.14927442977, -261608.77470914027]"
979,"[array([230509.11386044,  77800.79800097,  89441.30346242]), array([230509.11386044,  77800.79800097,  89441.30346242])]","[array([-0.47113, 60.12701, 53.51568]), array([  0.47113, -60.12701, -53.51568])]",,"[4226.038379504653, -3897.5536976482153, -950.6620555244335, 1.4768734226068432, 2.9804224520520974, 5.407233147256821, 1.0325921751572995, 9.32402852657604, 10.402320004272454, 2.26013600384948, -10.280277575610539, 1.8096328123939518, 20473.36455724755, -50850.145076180066, -22251.65226744715]"
980,"[array([ 83167.39521072, 417285.72639289, 585918.57544999]), array([ 83167.39521072, 417285.72639289, 585918.57544999])]","[array([-90.2463 , -13.85578, -97.93723]), array([90.2463 , 13.85578, 97.93723])]",,"[4766.897607905945, 1176.321253741031, -3900.64072778874, 0.8317050008442194, 3.9817574016689905, 0.6235657347998419, 10.892607082575903, 6.863722955422576, 8.984136788574492, 9.766532636087657, 3.1585092652804843, 1.9447839892230299, 12768.514992756245, -86674.29305185558, -218487.90963913457]"
981,"[array([ 162939.75551686, 1797914.1545973 , 1436071.64571783]), array([ 162939.75551686, 1797914.1545973 , 1436071.64571783])]","[array([-182.66956,  156.66539,  -53.21489]), array([ 182.66956, -156.66539,   53.21489])]",,"[-4182.199990934572, -2335.1225329402814, 5730.427104815153, 2.927525866101799, 4.84562274583241, 4.556875021802713, -6.820896824200579, 7.056130804721178, 8.7650403789604, 0.7041750874358783, -0.7384372371812091, 5.0975775278618585, 86598.1042516082, 20597.651086018974, -353887.0804308556]"
982,0,0,,"[2754.8846733301307, -4988.251554906802, 408.59568659990873, 3.719321553689742, 0.6964418809104925, 4.630524276858738, 11.23368611821649, 12.113609735876395, -5.999684722457184, -12.355894371130796, -7.633469260401289, -8.262740136167015, -79114.35290649424, 26741.770773675118, -333132.04464893276]"
983,"[array([415530.0169895 ,  48595.18466623, 216984.38720682]), array([ 42999.24663616, 375699.02921959, 246693.96904547]), array([ 42999.24663616, 375699.02921959, 246693.96904547]), array([415530.0169895 ,  48595.18466623, 216984.38720682])]","[array([-83.33351,  11.66669, -69.72513]), array([-14.09497,  64.87589, -67.79558]), array([ 14.09497, -64.87589,  67.79558]), array([ 83.33351, -11.66669,  69.72513])]",,"[-3329.056872258756, -849.1828526286445, 1182.4898373192264, 1.1157935252494624, 3.089423283035638, 4.811590548472544, 9.285952564765172, 5.791280093131368, 5.877651449637861, 2.5798005260640675, 0.008799441335032299, -2.8970780282071615, -70246.93762399198, 121534.54792850866, -95252.67832817358]"
984,0,0,,"[6348.821045950117, -2706.774129394221, 5725.711851872064, 2.38735675937186, 2.5082155297729245, 3.0883335001165553, -11.606981224299332, -3.2308694543698886, -4.46067653530569, -7.477643330980655, -2.3450896485400854, 1.9201395622755335, -43356.823182121996, 78259.97007957581, -300992.81426325114]"
985,"[array([931612.59791556, 463231.07351544, 158281.62581798]), array([1038409.99663257,  376288.87095074,  110512.82727656]), array([1038409.99663257,  376288.87095074,  110512.82727656]), array([931612.59791556, 463231.07351544, 158281.62581798])]","[array([-108.66904,   94.34344, -116.79424]), array([ -95.43139,  -98.00002, -121.8421 ]), array([ 95.43139,  98.00002, 121.8421 ]), array([108.66904, -94.34344, 116.79424])]",,"[-8116.7910396280395, 930.8316682797631, 2335.3745964245372, 2.962746104324026, 4.613247527688508, 4.956939702153734, 4.178728377349348, 0.14826553198363968, -0.7534941280274028, -1.735124111358866, -7.7632696147722235, 1.9625179344016548, 33714.99669026278, -21397.917395183977, -189244.93812251132]"
986,"[array([670710.40125589, 124851.69374433, 319231.75029481]), array([670710.40125589, 124851.69374433, 319231.75029481])]","[array([-30.34171, 109.81087,  91.8481 ]), array([  30.34171, -109.81087,  -91.8481 ])]",,"[6652.35719699553, 8039.4018926439785, -2454.4032222876804, 5.010774033805199, 3.4955240307365676, 3.9898553516649056, 5.009855396346293, 10.544653015771495, 0.5872838054758613, -2.8706220028360594, -10.745480204948002, 6.194110012693592, 114309.16635336808, -145248.80382909454, -80123.99464005855]"
987,0,0,,"[-2446.346090061289, 4173.462607126756, -8568.075833675397, 0.11357609691876332, 1.2898190484822465, 1.6135355234912026, 10.27307868230018, -5.313763639737522, 5.902502461230361, -5.83543255240499, -4.696300555046076, 5.153328828587643, -100282.48901265097, -142428.85148770604, -260542.29210869997]"
988,"[array([  618805.06817208, 33085807.8841654 , 30116809.9552426 ])]","[array([ -924.15339,    -7.10229, -1162.04411])]",,"[2215.8850301049933, 9913.92356553618, -8648.593365482613, 2.964403054920441, 2.758033794560266, 1.182164990865817, 4.538242151363786, 11.283291882547182, 1.0038027678266381, 8.78329668987256, -8.548096510645948, -4.599761842155489, -144458.99816427563, -69219.22392065845, -327120.93999304826]"
989,0,0,,"[-145.99123334800424, -3555.986236989277, 1657.5697533440216, 1.5731564263869724, 3.0389946528550147, 2.0276125572228767, 2.3026730857897917, 3.345248385858694, -5.132570355598794, 0.9029925362899558, 3.153256432986332, 1.1986728934402464, 67796.15626841609, -119036.25667871776, -213541.40428017997]"
990,0,0,,"[-5026.745502219525, -5488.449011445305, -2855.945999790577, 5.291725674225646, 2.2848406537426174, 3.0586780623004874, 9.580273637625993, 3.113346125959703, 11.868687664854036, -4.240792097744462, -9.307464052623462, 7.752649314016761, 72784.03399071799, 134972.1083001775, -23137.233277757303]"
991,"[array([340508.37818972, 858160.75198592, 633969.83126072])]","[array([-124.49433,  -54.82767, -134.25781])]",,"[-1684.170226100212, 5530.80260695624, 8619.730957767777, 1.6192256938750353, 4.40192366296318, 2.2714987237989095, 7.53283146531647, 3.847782298000727, 12.556374271784254, -1.3582606393580647, -0.6811623993465474, -4.434087047675828, -17819.59496907334, -125355.69438091468, -394870.71781384386]"
992,"[array([528640.96878688, 103273.02603219, 266297.50003253]), array([528640.96878688, 103273.02603219, 266297.50003253])]","[array([-110.06599,   59.66443,  -54.32591]), array([110.06599, -59.66443,  54.32591])]",,"[-3287.0014093989266, 9490.594054958347, 2226.2239884160026, 0.6737960225020553, 4.2249040391382575, 0.3587368504097007, 2.0433011974451247, 11.024927361521929, 10.553076489556968, 0.17558727143742026, -1.7492487767091536, 3.8365632916336914, 76532.9886146133, 9342.717750808719, -199507.71472302882]"
993,"[array([3443697.095984  , 1417849.19905321,  443497.43263579]), array([3443697.095984  , 1417849.19905321,  443497.43263579])]","[array([-145.00293,  194.24809, -212.10673]), array([ 145.00293, -194.24809,  212.10673])]",,"[9927.980806938296, -4377.206600258152, 7459.322676456726, 4.337878234970867, 5.2600118836131164, 4.994861309289577, 4.95410339413548, 0.2193384337158122, -1.4637621649640389, -1.779344155126081, -8.803743864480733, 3.019974455344032, 139277.73221943906, 54735.36801164903, -367796.4326689007]"
994,0,0,,"[7236.977612236151, -3838.9608070682816, -169.2844901837925, 2.2916278665109364, 3.152290570291726, 1.3846852055651595, -2.1548783442125963, 3.693603046240108, -7.592616335352043, 3.0726650560556337, 5.589350345709921, -6.705760543446474, -28179.82208055335, -105849.57429659402, -90022.56404011621]"
995,"[array([762092.29935452, 356455.05037835, 166272.8029827 ]), array([762092.29935452, 356455.05037835, 166272.8029827 ])]","[array([ -95.6031 ,   98.89572, -100.55717]), array([ 95.6031 , -98.89572, 100.55717])]",,"[-7771.5338675060175, 7188.221856505155, 4982.335920690886, 5.082858983087578, 5.777977635025273, 2.6218054160585003, -12.065265683766702, -7.3702533266663774, -1.3676195651092558, 7.287752603798523, 4.9142251793838625, 1.8446530879034135, 65093.42590917187, 11544.331822197943, -47757.08853196225]"
996,0,0,,"[5531.966603093017, -535.4607716175906, -9646.174315115033, 3.272011059636787, 5.175089305282788, 0.8312986000323681, -5.789455318395048, -5.724970916136925, 8.888031448777959, 8.163106230917908, -12.314733407713089, -7.963914358146104, -28759.377956662152, 88851.47228267256, -244005.3656876595]"
997,0,0,,"[2370.0728624410367, -2210.573150722823, 92.79409896204925, 4.786595781069945, 0.1649439926246607, 1.2362715807173974, 7.233009740934712, 0.890947128202157, 3.3849672874642156, -3.709789292994536, 4.746144899543559, -9.80376063026535, 78785.17381448901, 30239.189271377138, -257663.15057603104]"
998,0,0,,"[-3823.2448903975883, -4269.68557460808, 5742.536400376235, 3.867686214013089, 1.1284517054121384, 3.1667520986068647, -7.727166098021602, 0.44661133221582716, 0.04765698613510061, -1.4971610879782666, 7.8369421012808544, -9.914765004004028, 44642.42947955645, -141186.6125257745, -72004.5222748798]"
999,0,0,,"[346.93031264444653, 8006.769927203939, 3489.131529581804, 1.0990485252163262, 1.4530423744103929, 5.01581629692137, 6.441889160963662, 7.477693792460476, -6.873825026367618, -1.2210625587836006, -7.02534428956038, -0.7229693955713188, -106415.0675739604, -44556.28401125474, -371727.92569667427]"
1000,0,0,,"[9060.9625802167, 5556.740649723464, -7231.570236813412, 4.529930416353822, 2.6813390227560525, 1.2920011295230962, -7.9876397070484195, 0.3935881742655578, 3.5344953535344406, -9.820104786516515, -4.8210179418086145, 5.866864979135553, 102716.35646020342, 15357.570373987197, -262355.6579098633]"
1001,0,0,,"[7636.764537629595, -3940.3388641412575, 2631.8200916007936, 3.4243677499454312, 3.2742822110512795, 2.886133078431136, -3.7922444662692865, -1.0126211187117171, 3.342706055668806, 6.208448843208167, 6.586726135762806, -11.1019056909915, -54927.1361641641, -143209.3948866597, -148323.6379006373]"
1002,"[array([190401.7311531 , 599374.28757972, 848578.42911803]), array([190401.7311531 , 599374.28757972, 848578.42911803])]","[array([-163.39179,   13.47286, -148.02532]), array([163.39179, -13.47286, 148.02532])]",,"[3475.1028915900224, -2258.3577971936, 5226.84808411202, 1.2604717596075823, 1.8115958701304462, 2.02851783710992, -4.6549862307184595, 8.156588332426004, 1.7879567318509118, 10.318212457255076, 3.59186829762157, -2.9548453967047106, -33584.9979194519, 111984.63755843358, -89785.18008142448]"
1003,0,0,,"[-8831.678659941, -2353.568376075761, 6906.748585563488, 0.40132554369036966, 2.0450365121985916, 4.914586536873335, 5.994725987504605, -1.0606956296325647, -5.823997250647386, -2.082660038463903, -9.26259292234397, -7.513262777051439, 64994.55114402133, -35495.175997762184, -366106.953285741]"
1004,0,0,,"[-9905.85853255997, 9814.717066716235, -4979.610653538162, 1.113688473726931, 4.468483125875896, 3.3586374442236333, -0.18040189361340886, 6.80907363139937, -7.35330309582614, 11.004929293664098, -4.330893562326448, -11.794075623252864, -32293.19424483771, 16896.963292847824, -298646.60157933587]"
1005,"[array([ 275786.37028047, 1207419.67109972,  741492.74537431])]","[array([-150.59344,  -39.59097, -132.19712])]",,"[1957.981086001384, -5828.212503632755, 4332.016695328275, 2.67290080611124, 2.301111517037079, 4.858298046077503, 10.243758683640145, -1.105956931315057, 3.53218888033855, 1.5149674694208404, 4.950873735108573, -7.025630206966558, -112298.49014231621, -79859.45618202398, -141014.21334147378]"
1006,0,0,,"[8733.890423129971, -2562.8450553888806, 6540.961531592391, 0.36287296014021275, 2.2586117588127865, 0.6834944153799563, -4.982679560405332, 9.455966780806651, 11.738192059253919, -11.621610736095398, -1.8427077031391281, 3.801841291410451, -62618.12559774546, 71489.27142357043, -192905.33826203423]"
1007,0,0,,"[3589.0185755679995, -1465.8272273673883, 7446.634237159218, 1.3944950667174605, 5.536350712206272, 1.9145219171165284, -7.147735771857995, -6.335808832042872, 5.726240870794674, -1.8832065847113384, -3.843819014830478, 3.800620884954938, -89001.16919476652, 127903.4641476628, -143619.84769818778]"
1008,"[array([ 649631.27250882, 3479110.35000818, 2275323.77080298]), array([ 649631.27250882, 3479110.35000818, 2275323.77080298])]","[array([-233.20473,   -5.3568 , -316.51037]), array([233.20473,   5.3568 , 316.51037])]",,"[4101.890124480156, -7029.66202938557, 3256.2363780434644, 5.080214686172986, 3.3834585119957947, 1.501786832752372, -5.464416794764666, 6.546195707742388, -0.45609551715511376, -0.28942326072746916, 7.864215721830657, -2.711278277701826, 5361.797893859068, -42468.2153030427, -340490.05669900787]"
1009,"[array([ 42711.62428501, 299952.93405435, 339570.85158562])]","[array([-65.75962, -10.21088, -59.27346])]",,"[-3837.2611441827485, 9051.635019619123, 4675.187254029512, 3.961447000009338, 5.361096185182441, 5.670596342820364, 7.581825169932106, 1.3010252488874947, 7.090991327807441, 2.798722069254403, -2.693478974062012, 3.677463846004084, -74044.174559358, 71099.84076642548, -158127.58129011487]"
1010,0,0,,"[900.0533327161284, -4201.963689030932, -9844.154806046652, 5.426503483285656, 4.275254833895887, 0.962350581624915, -7.486546846264227, 7.051285180024953, -3.671215292378678, 11.73249405997036, -5.487649414573537, -10.382123194104189, -132257.27735096362, -44768.223781658395, -120661.56692422752]"
1011,0,0,,"[1073.0977316274148, 4246.262997711963, 912.2458824281548, 0.5117774972093793, 4.106856569746613, 1.4353828709005025, -4.102555309609956, 9.410922049609777, 5.753726723336538, -7.647302797176235, -6.856625700305423, -1.241287965544963, 68256.94569084866, -143472.77245693433, -386039.14002970234]"
1012,"[array([137973.48783989, 327175.17146354, 458293.04225216]), array([137973.48783989, 327175.17146354, 458293.04225216])]","[array([-44.52394,  70.20276, -72.30631]), array([ 44.52394, -70.20276,  72.30631])]",,"[-9714.77105354054, 6250.595599620667, -3358.800578689571, 1.1589974057730548, 3.0078732011308023, 5.5495147448585636, 6.550850798205769, 4.211472693028888, 6.303007477309109, -0.5556027858644494, 1.7324258825919934, 4.276164555158683, -19232.16365897929, 140698.22771096468, -140800.6062213533]"
1013,"[array([ 83309.81339902, 669888.63298284, 471757.00188702]), array([ 83309.81339902, 669888.63298284, 471757.00188702])]","[array([-50.93448,  80.88955, -89.80638]), array([ 50.93448, -80.88955,  89.80638])]",,"[-3965.354879067202, 7302.589630114595, -4098.486409170099, 3.50017403087334, 3.9855843876113264, 4.587330024273375, 8.054105813365606, 0.3343641087778497, 4.172532597563235, 7.921518145665445, -5.679854979478317, 6.230417794893896, 63934.889592087915, 41537.148410846945, -181253.52914021682]"
1014,0,0,,"[-5536.98390871016, -2451.1007923143716, -1827.274300846755, 1.206402281654699, 0.8705622731053926, 5.95793632333816, -3.404169655720615, -0.6745952095031598, -5.102871436640866, -6.96771077033821, 4.9353001350983305, -11.262491493098986, 44563.79688463951, 84051.36436223643, -21248.751063701813]"
1015,"[array([1456924.22923483,   40017.07875397,  853462.44312526]), array([1456924.22923483,   40017.07875397,  853462.44312526])]","[array([  -4.9685 , -194.09526,  -31.099  ]), array([  4.9685 , 194.09526,  31.099  ])]",,"[4711.325762300805, 9023.894605433921, -2851.0519154024787, 3.4740653872073697, 0.12408360432060311, 5.592253834484319, 11.629393789116907, 10.410355253456867, 12.218487827094755, 7.453563178961613, -0.26229452722998303, 1.460889240173632, -35689.90955983318, -126749.62654148642, -9741.02531497844]"
1016,"[array([  444151.04138728, 78072225.00552653, 78212489.56730458]), array([  444151.04138728, 78072225.00552653, 78212489.56730458])]","[array([-1089.42655,     2.50206, -1506.88832]), array([1089.42655,   -2.50206, 1506.88832])]",,"[-2341.580576337441, 6049.149011792631, 2632.625806698892, 5.397836678218447, 1.8452575066103871, 1.4754765442597044, 3.3760614727905836, 2.2575982136541466, 0.4979991143479552, 11.458606992825764, 7.2073221546505195, -6.070979545889737, 145068.66978077882, 24940.469188922492, -232041.31373414112]"
1017,"[array([748182.69926764, 345646.31200659, 232557.92794788]), array([748182.69926764, 345646.31200659, 232557.92794788])]","[array([-106.45344,  157.77541,   84.60028]), array([ 106.45344, -157.77541,  -84.60028])]",,"[782.5987887619103, 9990.275748606051, -8153.605622001649, 3.56980817969005, 1.78312145428392, 4.901607510638323, 3.6261175645233408, 4.93674079845519, 10.904552846428857, -4.438402860376385, -7.225659853719731, -8.251279235805724, 110169.87134988946, -59792.254637084014, -6910.934389393136]"
1018,0,0,,"[-65.4903552367723, 4529.3795833927525, -737.5028433718016, 2.8465388887322405, 4.008692585892391, 4.435587083864054, 4.363752319398799, -5.277158588465755, 11.881670983040156, 6.141901050138298, -6.794892559636493, -7.902644973892961, 129703.25316381105, -2425.7523051017197, -223237.4551079035]"
1019,0,0,,"[9737.54946440227, -9776.489807952348, 3636.857415093411, 0.30353999382180863, 1.5934242905654663, 2.536323665455314, -6.4809506737568645, 6.946821188629654, 6.539408967399682, 8.509604629872555, 5.790965847600365, -8.996475675441664, 56081.03620775064, -137168.71497619318, -393632.85476117017]"
1020,0,0,,"[221.51018304234822, 5836.373961119223, -7671.26882105686, 1.9973254631918849, 4.403350458203221, 2.507221704587531, 3.988258911089588, -6.457412498743959, -5.77549450125745, -10.63866371475304, 4.611746498077327, -0.17345579894934637, -95097.43058072694, -17878.479979423893, -352505.97401674214]"
1021,"[array([2211138.63626882,  127982.1875373 ,  875906.69860048]), array([1210449.88774798,  775343.70540919,  105537.23119615]), array([1210449.88774798,  775343.70540919,  105537.23119615]), array([2211138.63626882,  127982.1875373 ,  875906.69860048])]","[array([-193.11386, -204.01281,  -83.35732]), array([-132.30526,   90.84501, -121.28541]), array([132.30526, -90.84501, 121.28541]), array([193.11386, 204.01281,  83.35732])]",,"[1995.959122578175, -3860.7832201014116, -2769.8633926752873, 4.283268335677738, 2.218876666972602, 5.068364524309632, -3.9075679900167533, -0.019887495195050953, 0.501766010295503, -1.3845415569138861, 3.7087078069529262, 2.154220241797871, -69818.18053762928, 79324.36432233371, -365052.3941375285]"
1022,0,0,,"[-5264.17327213083, -8381.246165681536, -8050.328025774506, 4.903467063191843, 0.5126763674021554, 2.4931860910059216, 6.251199365057698, 7.791882950751512, -3.929765883501357, 8.187346932230035, -7.362147858893821, -11.428048128761183, 48581.477069496585, 10860.370153485565, -222344.72137985696]"
1023,"[array([ 496728.81380897,  977144.45498066, 1314020.27238332]), array([ 496728.81380897,  977144.45498066, 1314020.27238332])]","[array([-158.33702,  168.32671, -138.91019]), array([ 158.33702, -168.32671,  138.91019])]",,"[-494.3228842465651, -8525.44634029739, 7360.680179444691, 2.8198905502579974, 2.2783994149193036, 5.3346402750350075, -11.486227167830217, -1.9311256827193297, 0.9947238351570622, 11.420277390357548, -0.4974343964027188, 0.8612539373832124, 132549.6865940533, 64903.7064146683, -240224.4131082591]"
1024,"[array([687519.92938863, 372951.22534086, 260398.48282046])]","[array([-73.27868, -76.15968, -98.95745])]",,"[8353.56137072507, 2967.7954833198255, 5298.695310107547, 4.236335250906676, 4.728693326866952, 2.7304915316597533, -8.906504592627126, -0.45267199886144205, 8.800310145402747, 8.149825517590404, 0.15708781972388408, 6.278431954962954, 3317.3268896349473, -71614.80644666046, -269747.91639468295]"
1025,0,0,,"[5121.976056756903, -4224.335489214271, -4895.262293385836, 3.0092033952480457, 1.7366351986497826, 0.8981527268828419, -0.06487387854176419, 0.8603513708213839, 8.188521687034456, -8.475771004221155, -3.412603887360339, -7.326196029804885, -48649.560027956046, 41850.37637259776, -365825.65797163104]"
1026,0,0,,"[5404.093346243668, 2898.6898760649565, 3835.7430020575994, 0.8512455626403008, 1.605210712103924, 0.8176928590655964, -11.754211690194472, -3.778285738614544, 7.559069645220523, 9.782081396340171, -12.025890601101734, -7.335604013742999, 10337.12188752077, 66557.05475246688, -62137.137170899485]"
1027,0,0,,"[9066.191837389473, -6533.557876472584, 3238.4340281012574, 1.4119524400491363, 1.7769394950327004, 4.657545847169883, 1.7518692768683977, 11.945338873928712, -3.5960457696031947, -10.300021282337589, -8.474847279524472, 5.791620156018972, -141074.41820313066, -44570.23288343538, -395490.47574630915]"
1028,0,0,,"[-1743.721525423256, -1060.4313700227322, -7630.003366724091, 3.297276475679343, 1.2704949657343616, 2.308731309463037, 5.767326127525326, 8.230754465452119, -7.5785978618330745, 6.99842085667332, -3.632888288070559, -11.102103789538397, -42421.64938032944, 128655.0680541005, -373044.38865881506]"
1029,"[array([1116721.42043   ,  499652.23845317,  342524.07267471])]","[array([-109.3598 ,  -39.58997, -199.752  ])]",,"[-3660.818690874261, 2138.417527771715, 1114.3825365591147, 5.0928134907625875, 2.8630896937337957, 0.5910004730305581, 11.49082177301095, -0.34638730372433013, 1.8530227976938587, 7.470408523981714, 1.742325273043269, 0.6692444863350442, -88887.43132451523, -66013.5817555233, -262512.3220371699]"
1030,"[array([ 70549.38166727, 351453.8256329 , 678563.7570845 ])]","[array([-126.93915, -121.5063 , -102.77306])]",,"[-9029.678760092924, -3305.6682988040675, -7650.77055805891, 0.5205717801276314, 0.6651257757118163, 4.482252875074516, 5.527857311364723, -5.011137223149197, 7.738035309336716, -2.4761571616418525, 2.523110972292944, -3.772825143797858, -72981.34541917776, -18248.17319304822, -192221.57795343635]"
1031,"[array([1021695.6757337 ,  280032.86065581,  576766.96337522])]","[array([-149.38202,  -53.16176, -113.97505])]",,"[-6.7072441483833245, 2688.2944076943477, 7546.325861608249, 1.5487483790923917, 2.1238877767131275, 5.984909834912668, 7.897310116869157, -0.7321561001157164, 0.28252135962673464, -2.06683580809087, 7.288518157696011, -0.5844464558736817, -48159.98014068397, -146394.00587133854, -191653.45749756022]"
1032,"[array([1065029.85435724,  823840.63634769,  291611.13564524]), array([1065029.85435724,  823840.63634769,  291611.13564524])]","[array([  -6.6746 , -179.01943,  186.59426]), array([   6.6746 ,  179.01943, -186.59426])]",,"[-2202.290735180326, -2953.1341277629617, 6193.289743116062, 4.636569743957253, 1.9910801590694924, 1.780581511021225, -2.353352842419696, -5.268199533186565, 7.267555191062309, 5.807462608800616, 3.6876186881877757, 2.199569553727878, -77990.50264067289, 142455.21258136543, -43136.42794379982]"
1033,0,0,,"[-8243.17469687176, 9388.198414876308, 6312.18698035773, 3.344147650956133, 1.4844736509109133, 5.416512094410187, 3.549157839477438, -7.364157548720621, 6.790650984861339, -10.42327496689842, -9.675681429747927, -8.68989702555772, 84176.82257185981, -42217.18302858368, -350886.0006546253]"
1034,0,0,,"[-3869.6794080595746, 3298.888530246766, -5616.676134255909, 5.441490246871222, 0.814513396978891, 4.378708091413431, 9.082335588927727, 4.976123536596589, -1.667148256184193, -10.26988054641401, -6.573325021060502, -8.350794585264243, 41491.28118288706, 110246.70573615501, -24428.53910506243]"
1035,"[array([ 172216.4590305 , 1710652.89431131, 1160103.02905098])]","[array([ -63.80289, -129.16131, -185.65261])]",,"[5304.045385516938, -5142.93017880715, -397.4041638691415, 3.9982623183275066, 5.158228606738655, 1.9105287666638786, 8.455700327933261, -2.433448424116002, 8.359645700426341, 7.394640014202643, -1.86058460236198, 2.0941218917210342, -81030.96070769806, -102627.23916501089, -391756.91607843176]"
1036,0,0,,"[984.9215009576346, -4934.596979576311, -6948.315612498308, 5.5160094720205315, 5.2713410595266055, 1.1532272520224203, 10.713623553145844, -4.048542519562581, 0.023085397417839104, -6.07535275295501, -3.48387417656801, 3.1543614091307415, 121002.8098133115, 44137.33576506996, -302102.07417135075]"
1037,"[array([26090998.655409  ,   597578.39262523, 10620763.44822855]), array([23345290.12019863,   531961.04289351,  9327132.459982  ]), array([23345290.12019863,   531961.04289351,  9327132.459982  ]), array([26090998.655409  ,   597578.39262523, 10620763.44822855])]","[array([-703.85115,  472.93916, -627.46212]), array([-663.46976, -441.95392, -596.43344]), array([663.46976, 441.95392, 596.43344]), array([ 703.85115, -472.93916,  627.46212])]",,"[4169.292083505607, -9573.133364967847, 8955.400886338408, 3.5230147505521225, 4.965707781215217, 4.349413688576175, 4.784250420991995, 1.492813259877332, 1.3686867618390597, -8.659770374014704, -2.232483700411919, -7.564509096872129, 67575.98921148168, -45992.67951821291, -353536.2994513023]"
1038,0,0,,"[-534.1460901665014, 3903.369512207857, -1940.8724912475564, 2.3858147125791564, 1.0232734063575142, 5.707680756906503, -4.520908727718091, -0.5697159578926749, -6.6953015380541, 10.658956465173713, -1.7070936627360158, -8.76286586670503, -15815.73902653408, -76171.08599674184, -266204.98915917845]"
1039,0,0,,"[1446.1421771977384, 7046.393074871343, -9090.940355424083, 1.660659317574071, 0.5415392874356649, 1.8820578924739875, 4.9912141900479305, 6.553641764641885, 11.66583081903164, -11.124791066834868, -0.008146434812852377, 6.072330307706359, 130556.28008028929, -96320.71219146691, -342.0666582028498]"
1040,"[array([2009729.83629383,  276250.49345052,  739876.24979441]), array([2009729.83629383,  276250.49345052,  739876.24979441])]","[array([-222.11812,  179.40208,  -36.66303]), array([ 222.11812, -179.40208,   36.66303])]",,"[6460.515283510336, 6301.646292036619, -3128.9725165302816, 2.0822147507773066, 4.6521026537181625, 3.1102951453628283, -8.890745773569913, -1.6977481638294627, 11.69509184341068, 4.462859720726421, 2.462250975049333, -5.419192378569359, 129880.91738981352, -45765.15905925659, -151095.96401187032]"
1041,"[array([645178.5474154 , 248933.95906242, 427627.4923638 ]), array([645178.5474154 , 248933.95906242, 427627.4923638 ])]","[array([-92.66123,  96.45996, -79.65181]), array([ 92.66123, -96.45996,  79.65181])]",,"[-5333.6933399287445, 91.89957203026097, 7554.49491172488, 1.9959370581170885, 4.4148312789326045, 4.222923358238822, -8.160654499950684, -0.8736718910753121, 10.496015482828664, 9.293675776674835, 1.551865792203257, -2.30767664981901, 111058.34803277501, 103548.36589999369, -103059.51014470047]"
1042,0,0,,"[3226.9672642582955, 1229.7602105441529, -5725.828161270856, 0.77472432684902, 5.6784936407168205, 1.7328620081155373, -8.236551231604583, -0.26599425812171695, 6.063784818340812, 7.352732864193822, -7.969419568119668, 1.8675252021580118, -717.357404050359, 99177.83402920482, -121568.6663979314]"
