,Roots,Real Roots,Accuracy,Paths,Other Info
70,[ 2.929-2.296j -1.648-2.955j  4.101+5.742j  0.35 +0.447j],,"[4.120468278317311e-14, 1.5543122344752192e-15, 6.355287432313019e-14, 1.9860273225978185e-15]",-,
71,[ 2.929+2.296j -1.648+2.955j  4.101-5.742j  0.35 -0.447j],,"[5.42897923843148e-14, 2.220446049250313e-15, 5.684341886080802e-14, 1.2560739669470201e-15]",-,
72,[ 2.985-2.409j -1.778-3.08j   4.919+5.281j -0.   +0.j   ],,"[2.9191899439142324e-14, 3.552713678800501e-15, 2.842170943040401e-14, 3.226961599253869e-46]",-,
73,[ 2.985+2.409j -1.778+3.08j   4.919-5.281j -0.   -0.j   ],,"[2.9191899439142324e-14, 3.552713678800501e-15, 2.842170943040401e-14, 2.245653090560169e-77]",-,
74,[ 3.463-1.603j -1.714-2.901j -6.513+1.73j   0.244+0.528j],,"[6.375271444358239e-14, 9.441466109136565e-15, 2.842170943040401e-14, 2.5121479338940403e-15]",-,
75,[ 3.463+1.603j -1.714+2.901j -6.513-1.73j   0.244-0.528j],,"[5.5211916766222624e-14, 8.379058453350832e-15, 6.355287432313019e-14, 1.831026719408895e-15]",-,
76,[ 3.498-1.462j -1.729-2.899j -7.692+0.225j -0.223-0.533j],,"[6.726888855610763e-14, 1.432144669219779e-14, 1.1457157353758233e-13, 2.808666774861361e-15]",-,
77,[ 3.498+1.462j -1.729+2.899j -7.692-0.225j -0.223+0.533j],,"[5.42897923843148e-14, 1.4273168140722167e-14, 5.684341886080802e-14, 3.4684476073050936e-15]",-,
78,[ 3.645-1.598j -1.778-3.08j  -7.237+1.003j  0.   -0.j   ],,"[1.225822978161045e-13, 3.552713678800501e-15, 0.0, 2.555104478220893e-78]",-,
79,[ 3.645+1.598j -1.778+3.08j  -7.237-1.003j  0.   -0.j   ],,"[1.1388182689551367e-13, 3.552713678800501e-15, 1.1718571004216928e-13, 4.650675924433653e-77]",-,
