,Parameters,Minima Found,Cost Function Values,Other Info
31,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94908,    1.87881, -143.80487]), array([-157.19246,    1.97115,  138.93955]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.19246,   -1.97115, -138.93955]), array([159.94908,  -1.87881, 143.80487])]",1.0790531678891946,
32,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -6.00000e+00  2.00000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -8.98000e+03]","[array([-1.681550e+00,  2.561427e+02,  4.060000e-03]), array([ 1.681550e+00, -2.561427e+02, -4.060000e-03])]",1.0790532425983612,
33,"[ 2.51398e+05  1.31229e+05  1.60046e+05  7.00000e+00  1.00000e+00
  5.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  7.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-135.25123,    2.18926, -128.49881]), array([-132.78573,    2.30571,  124.38536]), array([-1.9447200e+00,  2.5613913e+02,  4.2100000e-03]), array([ 1.9447200e+00, -2.5613913e+02, -4.2100000e-03]), array([ 132.78573,   -2.30571, -124.38536]), array([135.25123,  -2.18926, 128.49881])]",1.0790532425983612,
34,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  6.30000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94216,    0.94857, -143.82403]), array([-157.18488,    0.98508,  138.9622 ]), array([-7.4302000e-01,  2.5615121e+02,  1.0670000e-02]), array([ 7.4302000e-01, -2.5615121e+02, -1.0670000e-02]), array([ 157.18488,   -0.98508, -138.9622 ]), array([159.94216,  -0.94857, 143.82403])]",1.0790532571719387,
35,"[ 2.51398e+05  1.01588e+05  2.12189e+05  5.00000e+00  1.00000e+00
  0.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -5.90000e+01 -9.80600e+03]","[array([-2.3475100e+00,  2.2534498e+02, -7.4700000e-03]), array([ 2.3475100e+00, -2.2534498e+02,  7.4700000e-03])]",1.0790532571719387,
36,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.70000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94672,    1.62219, -143.8114 ]), array([-157.18984,    1.6971 ,  138.94737]), array([-1.5423800e+00,  2.5614438e+02,  6.5600000e-03]), array([ 1.5423800e+00, -2.5614438e+02, -6.5600000e-03]), array([ 157.18984,   -1.6971 , -138.94737]), array([159.94672,  -1.62219, 143.8114 ])]",1.0790549591482845,
37,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94908,    1.87881, -143.80487]), array([-157.19246,    1.97115,  138.93955]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.19246,   -1.97115, -138.93955]), array([159.94908,  -1.87881, 143.80487])]",1.0790549591482845,
38,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94908,    1.87881, -143.80487]), array([-157.19246,    1.97115,  138.93955]), array([-1.9447400e+00,  2.5613913e+02,  4.5000000e-03]), array([ 1.9447400e+00, -2.5613913e+02, -4.5000000e-03]), array([ 157.19246,   -1.97115, -138.93955]), array([159.94908,  -1.87881, 143.80487])]",1.0790549591482845,
39,"[ 5.63950e+04  1.31229e+05  2.94622e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.90970e+04 -1.08000e+02 -9.80600e+03]","[array([ -82.43432,    1.18485, -192.58003]), array([-64.85319,   1.0707 , 191.35737]), array([-1.683590e+00,  2.561509e+02,  6.800000e-03]), array([ 1.683590e+00, -2.561509e+02, -6.800000e-03]), array([  64.85319,   -1.0707 , -191.35737]), array([ 82.43432,  -1.18485, 192.58003])]",1.0790549591482845,
40,"[ 2.51398e+05  1.31229e+05  1.60046e+05  5.00000e+00  1.00000e+00
  4.00000e+00 -9.00000e+00  1.10000e+01  0.00000e+00  3.20000e+01
  6.00000e+00  0.00000e+00  1.34480e+04 -1.08000e+02 -9.80600e+03]","[array([-159.94439,    1.32013, -143.81788]), array([-157.18738,    1.39087,  138.95472]), array([-1.3694300e+00,  2.5614626e+02,  7.4500000e-03]), array([ 1.3694300e+00, -2.5614626e+02, -7.4500000e-03]), array([ 157.18738,   -1.39087, -138.95472]), array([159.94439,  -1.32013, 143.81788])]",1.0790549591482845,
